KOLOM;RIJ;ID;X;Y;Z;;ID_RVT;NOTA_RVT
1;1;001-001;0;4;-1;;11157839;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
1;2;001-002;0;12,1;-1;;11157838;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
1;3;001-003;0;20,2;-1;;11157837;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
1;4;001-004;0;28,3;-2,5;;11157836;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
1;5;001-005;0;36,4;-1;;11157835;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
1;6;001-006;0;44,5;-1;;11157834;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
1;7;001-007;0;52,6;-1;;11157833;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
1;8;001-008;0;60,7;-1;;11157832;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
1;9;001-009;0;68,8;-1;;11157831;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
1;10;001-010;0;76,9;-1;;11157830;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
1;11;001-011;0;85;-1;;11157829;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal niet onder tramsporen optie 2
1;12;001-012;0;93,1;-1;;11157828;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal niet onder tramsporen optie 2
1;13;001-013;0;101,2;-1;;11157827;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
1;14;001-014;0;109,3;-1;;11157826;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
1;15;001-015;0;117,4;-1;;11159682;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
2;1;002-001;4,05;0;-1;;11157853;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
2;2;002-002;4,05;8,1;-1;;11157852;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
2;3;002-003;4,05;16,2;-1;;11157851;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
2;4;002-004;4,05;24,3;-2,5;;11157850;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
2;5;002-005;4,05;32,4;-2,5;;11157849;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
2;6;002-006;4,05;40,5;-1;;11157848;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
2;7;002-007;4,05;48,6;-1;;11157847;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
2;8;002-008;4,05;56,7;-1;;11157846;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
2;9;002-009;4,05;64,8;-1;;11157845;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
2;10;002-010;4,05;72,9;-1;;11157844;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
2;11;002-011;4,05;81;-1;;11157843;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal niet onder tramsporen optie 2
2;12;002-012;4,05;89,1;-1;;11157842;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal niet onder tramsporen optie 2
2;13;002-013;4,05;97,2;-1;;11157841;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
2;14;002-014;4,05;105,3;-1;;11157840;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
2;15;002-015;4,05;113,4;-1;;11159684;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
2;16;002-016;4,05;121,5;-1;;11159683;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
3;1;003-001;8,1;4;-1;;11157867;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
3;2;003-002;8,1;12,1;-1;;11157866;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
3;3;003-003;8,1;20,2;-1;;11157865;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
3;4;003-004;8,1;28,3;-2,5;;11157864;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
3;5;003-005;8,1;36,4;-1;;11157863;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
