Totale koudelevering [kW];Totale warmtelevering [kW];Totale warmtelevering [kW] SWW
0,90138;128,95088;2,68
0,88305;161,95911;2,68
0,86472;194,96734;7,14
0,84894;195,37973;11,60
0,83319;300,38501;17,41
0,81849;297,5675;94,50
0,8067;267,30184;90,03
1,33442;250,9046;85,57
2,55824;193,83232;85,57
2,65858;198,13624;54,09
3,25987;132,97312;45,16
3,46403;162,00994;40,70
2,16496;166,82849;36,23
3,01696;145,17265;40,70
3,76859;126,00868;40,70
3,82416;141,12344;40,70
3,21816;180,29818;40,70
1,56828;206,52527;139,36
1,00526;218,60113;76,64
0,97421;193,25517;40,70
0,95684;166,7853;49,63
0,94628;152,6732;20,98
0,93532;165,63275;4,01
0,92081;195,41991;2,68
0,91422;124,62758;2,68
0,90877;122,80197;2,68
0,89814;151,83237;7,14
0,89162;119,32974;11,60
0,88569;196,79689;17,41
0,88022;181,02705;94,50
0,87918;126,46408;90,03
1,41452;119,01063;85,57
2,69485;94,66716;85,57
2,81093;83,03517;54,09
3,67914;31,8009;45,16
4,07179;8,55893;40,70
2,48905;6,62091;36,23
3,49351;6,24161;40,70
4,22152;9,49955;40,70
4,24711;12,78669;40,70
3,44596;29,19195;40,70
1,7427;38,21168;139,36
1,13415;60,06244;76,64
1,06269;26,71383;40,70
1,00071;27,75771;49,63
0,96426;29,61633;20,98
0,97337;33,03176;4,01
1,06958;39,44956;2,68
1,07985;38,18586;2,68
1,06798;59,02341;2,68
1,05587;61,92166;7,14
1,04379;72,14873;11,60
1,03303;143,17786;17,41
1,01827;164,54237;94,50
1,00581;140,58711;90,03
1,53168;137,86498;85,57
2,92691;58,39763;85,57
3,13911;77,29387;54,09
3,95593;68,62313;45,16
4,17945;60,10039;40,70
2,49644;74,51113;36,23
3,67177;36,46697;40,70
4,47073;74,98298;40,70
4,50244;106,05783;40,70
3,78305;118,01757;40,70
1,75864;161,55365;139,36
1,16072;191,72682;76,64
1,126;155,4784;40,70
1,10174;157,28948;49,63
1,07939;181,79538;20,98
1,0596;185,26237;4,01
1,04305;188,4084;2,68
1,02687;172,78868;2,68
1,01067;176,65537;2,68
0,99554;176,7465;7,14
0,98199;171,44315;11,60
0,96826;255,35619;17,41
0,95829;221,37428;94,50
0,95052;192,56056;90,03
1,48284;170,02367;85,57
2,83627;156,44194;85,57
3,09208;111,06486;54,09
3,96273;103,19912;45,16
4,51096;34,59634;40,70
8,86991;37,51138;36,23
9,94389;24,32634;40,70
4,7581;24,72627;40,70
4,78514;53,57657;40,70
3,91255;112,2843;40,70
1,79007;147,29497;139,36
1,18495;170,35439;76,64
1,1531;108,12263;40,70
1,13707;81,83396;49,63
1,12267;100,4291;20,98
1,11381;74,37216;4,01
1,09741;135,62723;2,68
1,0776;140,35137;2,68
1,06617;100,10156;2,68
1,05635;104,51562;7,14
1,04692;102,67686;11,60
1,04223;140,35272;17,41
1,03736;133,63944;94,50
1,03161;115,45973;90,03
1,56486;92,3652;85,57
3,05203;48,30923;85,57
3,2979;65,13617;54,09
4,14876;79,12378;45,16
4,35804;84,46811;40,70
2,54695;128,64785;36,23
3,79334;78,90842;40,70
4,60969;100,78398;40,70
4,67841;79,17753;40,70
3,91293;121,11002;40,70
1,78386;151,22901;139,36
1,18211;177,85157;76,64
1,14819;140,61036;40,70
1,12516;143,47484;49,63
1,10758;143,27614;20,98
1,09559;125,50034;4,01
1,07944;166,33101;2,68
1,06518;138,67071;2,68
1,04959;156,33697;2,68
1,03292;168,60188;7,14
1,01747;167,05025;11,60
1,00379;184,68344;17,41
0,99122;187,09248;94,50
0,97981;175,95628;90,03
0,96826;176,3835;85,57
0,95818;166,70415;85,57
0,96009;163,7637;54,09
0,99072;153,48976;45,16
0,99007;151,576;40,70
0,99641;150,49367;36,23
0,99224;152,32928;40,70
0,98898;155,08855;40,70
0,96694;161,5947;40,70
0,9326;174,11696;40,70
0,91054;170,37995;139,36
0,89678;171,44674;76,64
0,88469;173,79308;40,70
0,87352;176,10939;49,63
0,8607;188,75465;20,98
0,84949;198,47217;4,01
0,83852;208,09413;2,68
0,82739;188,67515;2,68
0,81814;179,72349;2,68
0,81386;150,76808;7,14
0,81308;132,77736;11,60
0,81122;167,85448;17,41
0,80076;209,68622;94,50
0,78981;206,30607;90,03
0,77649;228,61664;85,57
0,76608;221,75737;85,57
0,78052;192,00245;54,09
0,89214;161,91646;45,16
0,89378;162,984;40,70
0,90331;146,07785;36,23
0,88639;158,06376;40,70
0,86986;157,35387;40,70
0,83621;190,46103;40,70
0,79622;209,91627;40,70
0,7733;212,18445;139,36
0,75851;212,08069;76,64
0,74646;213,144;40,70
0,73559;217,53881;49,63
0,7256;222,19752;20,98
0,71687;225,73716;4,01
0,70859;235,47638;2,68
0,70109;205,28088;2,68
0,69335;209,90119;2,68
0,6859;209,65592;7,14
0,6792;207,04948;11,60
0,67306;290,86423;17,41
0,66674;285,02664;94,50
0,66029;269,74818;90,03
1,19297;250,03798;85,57
2,33661;197,56118;85,57
2,45503;189,81526;54,09
2,90774;171,62283;45,16
3,04614;159,30347;40,70
1,98088;174,51043;36,23
2,73535;151,00221;40,70
3,3144;148,55546;40,70
3,39316;155,02914;40,70
2,84878;183,63511;40,70
1,45067;215,0268;139,36
0,88857;241,58906;76,64
0,86042;196,63766;40,70
0,84212;198,8802;49,63
0,82718;207,65597;20,98
0,81366;215,44389;4,01
0,80161;218,3355;2,68
0,7902;195,43239;2,68
0,77901;198,05454;2,68
0,76741;204,26888;7,14
0,75599;206,6838;11,60
0,74524;290,68891;17,41
0,73508;282,3356;94,50
0,72702;253,08046;90,03
1,2571;241,32989;85,57
2,44767;190,97397;85,57
2,55147;201,19969;54,09
3,04301;188,5113;45,16
3,31701;157,33765;40,70
2,11383;169,78995;36,23
2,92945;123,7984;40,70
3,61795;109,26335;40,70
3,68635;84,67631;40,70
3,09452;117,7305;40,70
1,53451;147,15101;139,36
0,97303;171,91267;76,64
0,93737;185,70207;40,70
0,90825;209,94555;49,63
0,88426;222,6099;20,98
0,86492;225,82425;4,01
0,84668;245,39431;2,68
0,83122;210,72585;2,68
0,81684;213,0897;2,68
0,80413;207,69502;7,14
0,79241;205,22914;11,60
0,78212;278,97813;17,41
0,77721;231,50059;94,50
0,76937;231,42495;90,03
1,3105;135,03687;85,57
2,54374;98,75202;85,57
2,66018;67,94563;54,09
3,28569;43,16427;45,16
3,50487;33,76839;40,70
2,19723;40,55644;36,23
3,09417;28,33458;40,70
3,8144;25,71418;40,70
3,89737;29,38432;40,70
3,28784;43,43232;40,70
50,83186;109,51527;139,36
50,26923;133,94238;76,64
48,80329;92,58891;40,70
46,13675;89,65901;49,63
45,15888;89,66498;20,98
43,93754;92,95218;4,01
44,88058;105,89019;2,68
0,62295;74,97144;2,68
0,71788;76,76177;2,68
0,68891;55,43786;7,14
0,74258;86,29994;11,60
0,77587;157,87358;17,41
0,70268;140,36458;94,50
0,69367;122,97415;90,03
1,41419;132,80777;85,57
2,67577;66,06466;85,57
2,58626;64,22498;54,09
3,26018;33,09607;45,16
3,4324;28,97709;40,70
2,05537;24,68496;36,23
2,79368;8,18137;40,70
5,01009;3,78782;40,70
4,51241;6,00582;40,70
3,14016;40,04472;40,70
1,64441;66,21958;139,36
0,99776;77,71925;76,64
0,92887;21,33424;40,70
1,0852;26,59365;49,63
1,07409;26,45055;20,98
1,06345;30,18004;4,01
1,04592;68,75617;2,68
1,03093;56,32245;2,68
