Koudelevering TOTAAL [kW];Warmtelevering TOTAAL [kW]
0;92,663719
0;136,578781
0;180,493843
0;181,597765
0;887,262578
0;782,54521
0;683,46032
0;580,474656
0;356,970202
0;349,416648
0;211,845761
0;248,185276
0;333,796608
0;240,57896
0;178,07196
0;197,264456
0;290,89055
0;443,647034
0;540,068394
0;167,475179
0;178,609499
0;185,694069
0;222,4876
0;278,156397
0;52,404964
0;57,303476
0;111,253648
0;74,978765
0;693,736813
0,005241;566,11975
0,00535;440,718625
0,005678;355,0455
0,005459;187,495843
0,005241;159,83164
0,005459;43,119039
0,005241;10,98598
0,005023;37,033679
0,004804;7,298166
0,005241;15,931295
0,005023;23,137185
0,005023;45,826042
0,005241;179,163421
0,005023;298,232375
0,004149;3,307249
0,004149;3,290735
0,00404;13,233843
0,00404;24,684839
0;41,517473
0;5,941146
0;25,645855
0;30,121386
0;40,918394
0,005132;596,993
0,005132;540,854312
0,005241;461,25
0,005241;381,259
0,005241;128,659718
0,005241;147,507671
0,005241;98,326
0,005241;79,54257
0,005023;173,520546
0,005678;43,712097
0;89,81669
0;129,594087
0;179,147749
0;358,64771
0;482,263444
0;132,575409
0;165,366194
0;207,110249
0;235,550288
0;253,635866
0;106,238656
0;122,837375
0;135,374062
0;134,564718
0;775,39953
0;622,044527
0;529,821058
0;420,097177
0;264,776265
0;181,263202
0;129,012819
0,005678;34,698167
0;98,743432
0,005459;35,943179
0,005678;28,174103
0,005459;67,661625
0;179,000308
0;351,247236
0;462,964976
0;100,601559
0;97,25353
0;131,602159
0;113,558413
0;182,17846
0;78,622382
0;43,109042
0;47,179074
0;50,977144
0;593,794447
0;487,19135
0;413,279182
0;303,26441
0;93,245926
0;114,271984
0;100,373634
0;103,095927
0;251,978691
0;114,511972
0;117,963087
0;84,94146
0;176,586861
0;336,50549
0;450,800516
0;113,01489
0;146,634116
0;164,859874
0;157,282015
0;202,840054
0;67,109187
0;87,180773
0;118,874109
0;127,228531
0;131,039382
0;136,611203
0;134,620468
0;148,745078
0;142,712156
0;143,732015
0;129,78621
0;124,2085
0;139,030093
0;142,487296
0;146,776609
0;157,977296
0;176,508593
0;182,905765
0;187,473468
0;192,008828
0;196,27864
0;209,196046
0;213,563125
0;217,732671
0;222,884281
0;206,66
0;161,024781
0;134,373234
0;137,093218
0;196,895437
0;200,507671
0;230,626093
0;229,497312
0;187,62914
0;132,153515
0;167,167953
0;160,896484
0;179,943265
0;178,820484
0;219,236812
0;245,409062
0;253,506968
0;257,8775
0;258,841687
0;264,741562
0;267,406437
0;267,35475
0;269,262125
0;266,283312
0;272,474843
0;272,833437
0;269,69425
0;903,736375
0;796,318999
0;720,037233
0;611,415488
0;392,936292
0;365,307147
0;297,821015
0;270,187905
0;371,553023
0;275,0236
0;237,041847
0;241,127472
0;315,490702
0;476,184613
0;593,470038
0;179,093335
0;239,220702
0;288,424061
0;317,571069
0;332,85389
0;161,506062
0;178,476656
0;195,085046
0;204,012375
0;851,888776
0;738,936753
0;645,49544
0;551,204948
0;339,182983
0;342,609871
0;286,79078
0;239,247772
0;338,249444
0;209,320312
0;154,583378
0;114,312819
0;187,845124
0;347,982608
0;463,01973
0;158,921608
0;231,064343
0;290,280608
0;313,626687
0;354,670273
0;155,256687
0;174,058484
0;176,920421
0;182,171953
0;814,97639
0;641,870728
0;592,039587
0;370,243492
0;177,869861
0,005678;121,436125
0,005678;48,869253
0,005896;28,342525
0,005896;108,981453
0,005459;31,702314
0,005678;19,447126
0,005459;24,90815
0,005241;63,67407
0,005241;207,046281
0,005023;318,237562
0,004367;5,164299
0,004149;9,952115
0,004149;28,479097
0,003712;44,423218
0,004149;59,857785
0;31,586152
0;35,599753
0;19,116841
0;47,275929
0,004804;626,949125
0,004804;515,340906
0,004804;445,073593
0,005241;374,034125
0,005241;141,531015
0,005241;136,51064
0,005241;41,171234
0,005023;40,353113
0,005241;96,759453
0,005241;20,056808
0,005241;6,359255
0,005459;8,920053
0,005023;74,080632
0,004804;232,295921
0,004804;333,580593
0,004477;2,032235
0;25,255547
0;23,65307
0;36,459281
0;94,815358
0;25,859066
0;49,43321
0;52,727492
0;37,169531
0,005241;579,83775
0,00535;507,220562
0,00535;419,859937
0,005459;355,094531
0,005459;153,987812
0,005678;98,935562
0,005459;19,336132
0,005241;8,225146
0,005241;17,479824
0,005241;0,665459
0,005241;9,886492
0,005241;16,883953
0,005241;36,095804
0,005023;143,818515
0,004804;273,193187
0,004367;1,628158
0;7,56969
0;14,939515
0;28,461164
0;40,875642
0;8,900784
0;4,746086
0;6,510308
0;36,488257
0;10,429393
0;9,3968
0;9,133694
0;9,816981
0;10,442227
0;9,661529
0;6,827135
0;4,874436
0;3,915776
0;4,248166
0;5,450867
0;20,943693
0;14,322225
0;17,077873
0;18,379685
0;21,722554
0;22,782613
0;23,821345
0;24,704015
0;24,914228
0;24,603113
0;24,655226
0;26,449378
0;27,622304
0;35,785816
0;30,785218
0;32,749164
0;34,516656
0;35,019105
0;32,38331
