Time,borFie.TBorAve
0,284.50937
3600,284.45596
7200,284.40073
10800,284.3548
14400,284.3171
18000,284.28613
21600,284.261
25200,284.24078
28800,284.17667
32400,284.07608
36000,284.0389
39600,283.99036
43200,283.94455
46800,283.93484
50400,283.93604
54000,283.92657
57600,283.9034
61200,283.8875
64800,283.92114
68400,284.00647
72000,284.041
75600,284.05386
79200,284.0609
82800,284.0655
86400,284.06827
90000,284.06943
93600,284.0697
97200,284.07
100800,284.07068
104400,284.0724
108000,284.075
111600,284.07788
115200,284.03058
118800,283.94305
122400,283.9317
126000,283.93387
129600,283.93826
133200,283.9449
136800,283.9507
140400,283.95566
144000,283.95062
147600,283.93924
151200,283.9596
154800,284.03128
158400,284.06857
162000,284.0843
165600,284.09198
169200,284.09653
172800,284.09866
176400,284.09897
180000,284.0985
183600,284.0979
187200,284.0972
190800,284.09586
194400,284.0941
198000,284.09213
201600,284.08997
205200,284.0884
208800,284.0886
212400,284.0908
216000,284.09436
219600,284.09674
223200,284.09366
226800,284.085
230400,284.0747
234000,284.06552
237600,284.05798
241200,284.05164
244800,284.0458
248400,284.03973
252000,284.0331
255600,284.0272
259200,284.0225
262800,284.01797
266400,284.01358
270000,284.0099
273600,284.00656
277200,284.00345
280800,284.00128
284400,283.9995
288000,283.99707
291600,283.99515
295200,283.99728
298800,284.00784
302400,284.02792
306000,284.05127
309600,284.06973
313200,284.07822
316800,284.07394
320400,284.05893
324000,284.04315
327600,284.0314
331200,284.02295
334800,284.01657
338400,284.01144
342000,284.00677
345600,284.00165
349200,283.9962
352800,283.99066
356400,283.98514
360000,283.98056
363600,283.97708
367200,283.97406
370800,283.97113
374400,283.92017
378000,283.83093
381600,283.8116
385200,283.79205
388800,283.76608
392400,283.75418
396000,283.7523
399600,283.74713
403200,283.7324
406800,283.72076
410400,283.7559
414000,283.8436
417600,283.88135
421200,283.89664
424800,283.90518
428400,283.91077
432000,283.91406
435600,283.9152
439200,283.91504
442800,283.9144
446400,283.91428
450000,283.91495
453600,283.9156
457200,283.91574
460800,283.91583
464400,283.91644
468000,283.91898
471600,283.923
475200,283.92545
478800,283.92715
482400,283.92923
486000,283.93094
489600,283.93127
493200,283.92896
496800,283.92575
500400,283.92303
504000,283.92038
507600,283.91745
511200,283.91382
514800,283.90976
518400,283.90585
522000,283.90164
525600,283.89685
529200,283.892
532800,283.8879
536400,283.88422
540000,283.87982
543600,283.8745
547200,283.8686
550800,283.86523
554400,283.87006
558000,283.88162
561600,283.8926
565200,283.9
568800,283.90317
572400,283.90295
576000,283.8992
579600,283.8918
583200,283.8841
586800,283.8777
590400,283.8721
594000,283.86703
597600,283.86252
601200,283.85873
604800,283.85526
608400,283.8519
612000,283.84885
615600,283.8463
619200,283.84424
622800,283.8424
626400,283.84012
630000,283.8371
633600,283.78812
637200,283.7009
640800,283.6762
644400,283.6483
648000,283.61615
651600,283.6075
655200,283.60904
658800,283.60324
662400,283.58627
666000,283.5732
669600,283.61264
673200,283.7046
676800,283.74023
680400,283.75485
684000,283.76343
687600,283.76907
691200,283.773
694800,283.77585
698400,283.77777
702000,283.77896
705600,283.7796
709200,283.77988
712800,283.78
716400,283.78
720000,283.73383
723600,283.64685
727200,283.61838
730800,283.58463
734400,283.5533
738000,283.55484
741600,283.56512
745200,283.56256
748800,283.5449
752400,283.53238
756000,283.57266
759600,283.665
763200,283.70078
766800,283.7146
770400,283.72232
774000,283.7272
777600,283.73035
781200,283.73267
784800,283.73502
788400,283.73746
792000,283.7401
795600,283.74347
799200,283.7475
802800,283.7516
806400,283.75546
810000,283.75992
813600,283.76608
817200,283.7737
820800,283.7813
824400,283.78827
828000,283.7944
831600,283.79965
835200,283.8036
838800,283.80664
842400,283.80972
846000,283.8137
849600,283.81912
853200,283.82593
856800,283.83316
860400,283.83975
864000,283.8446
867600,283.84705
871200,283.84802
874800,283.8487
878400,283.8492
882000,283.84952
885600,283.8502
889200,283.85052
892800,283.84955
896400,283.8494
900000,283.85327
903600,283.86108
