Cooling,Heating
0,2.31025
0,2.57625
0,2.79275
0,2.92
0,2.97675
0,2.9995
0,2.97325
0,2.93525
0,7.87025
0,4.96025
0,5.42425
0,6.6355
0,5.21075
0,4.564
0,4.4175
0,5.342
0,5.1355
0,5
0,0.19675
0,1.6185
0,2.219
0,2.34
0,2.37425
0,2.40425
0,2.454
0,2.48275
0,2.4905
0,2.48425
0,2.438
0,2.37125
0,2.31375
0,2.285
0,7.47125
0,4.32375
0,3.6905
0,3.637
0,3.2365
0,3.33425
0,2.94075
0,3.39225
0,3.46325
0,4.037
0,0
0,0.71025
0,1.29625
0,1.525
0,1.60825
0,1.696
0,1.79575
0,1.85975
0,1.89825
0,1.91825
0,1.95125
0,2.01075
0,2.037
0,2.0745
0,2.09525
0,2.06
0,1.97525
0,1.8925
0,1.82425
0,1.95675
0,2.239
0,2.42825
0,2.51025
0,2.533
0,2.54475
0,2.56675
0,2.5995
0,2.6755
0,2.7135
0,2.69225
0,2.7
0,2.7285
0,2.7285
0,2.7195
0,2.73975
0,2.7175
0,2.68275
0,2.70375
0,2.733
0,2.64575
0,2.3665
0,1.849
0,1.4
0,1.25375
0,1.398
0,1.7345
0,2.3295
0,2.62775
0,2.65275
0,2.638
0,2.632
0,2.62775
0,2.62925
0,2.67
0,2.7255
0,2.75575
0,2.8085
0,2.81825
0,2.79375
0,2.78725
0,2.78925
0,2.802
0,7.81525
0,4.79975
0,4.624
0,5.43775
0,5.047
0,4.64025
0,4.3685
0,5
0,4.88925
0,4.9325
0,0.13225
0,1.503
0,2.14275
0,2.2985
0,2.37475
0,2.43475
0,2.52675
0,2.5965
0,2.651
0,2.66725
0,2.6415
0,2.63275
0,2.6545
0,2.6645
0,2.6625
0,2.621
0,2.48075
0,2.49775
0,2.535
0,2.48925
0,2.488
0,2.48675
0,2.596
0,2.69
0,2.6955
0,2.7195
0,2.74525
0,2.79325
0,2.85175
0,2.87575
0,2.90825
0,2.9635
0,3.018
0,3.03
0,3.02075
0,3.069
0,3.12925
0,3.19975
0,3.247
0,3.0155
0,2.587
0,2.4275
0,2.41625
0,2.4955
0,2.59625
0,2.70175
0,2.916
0,3.046
0,3.064
0,3.0915
0,3.1155
0,3.1385
0,3.13925
0,3.144
0,3.16075
0,3.1695
0,3.166
0,3.16025
0,3.1485
0,3.16075
0,3.1945
0,3.23875
0,8.0025
0,5.358
0,5.3065
0,6.36225
0,5.56725
0,5.00275
0,4.89225
0,5.574
0,5.54925
0,5.4215
0,0.3375
0,2.073
0,2.66475
0,2.79425
0,2.87
0,2.92825
0,2.9675
0,3.002
0,3.0345
0,3.06475
0,3.089
0,3.10525
0,3.1195
0,3.127
0,7.948
0,5.45325
0,5.61025
0,6.67125
0,5.35475
0,4.68725
0,4.65525
0,5.57075
0,5.51125
0,5.35725
0,0.3135
0,2.04025
0,2.689
0,2.84225
0,2.93025
0,3.00375
0,3.0585
0,3.06825
0,3.06875
0,3.06375
0,3.039
0,2.9885
0,2.95175
0,2.93825
0,2.9085
0,2.8275
0,2.70125
0,2.6295
0,2.58725
0,2.56625
0,2.5445
0,2.55825
0,2.58175
0,2.58125
0,2.5465
0,2.477
0,2.3775
0,2.2965
0,2.2505
0,2.24625
0,2.30825
0,2.37625
0,2.402
0,2.4125
0,2.43975
0,2.44075
0,2.4295
0,2.49375
0,2.54075
0,2.42675
0,2.21825
0,2.07025
0,1.9585
0,1.6505
0,1.38875
0,1.51475
0,2.00625
0,2.32975
0,2.40875
0,2.4
0,2.50825
0,2.60075
0,2.55925
0,2.5975
0,2.65375
0,2.693
0,2.719
0,2.73125
0,2.73775
0,2.754
0,2.79175
0,2.8385
0,7.89225
0,4.679
0,3.62875
0,3.7655
0,3.831
0,3.397
0,3.11075
0,3.693
0,3.93275
0,4.49875
0,0.01625
0,1.1735
0,1.87875
0,2.03275
0,2.11375
0,2.1805
0,2.21725
0,2.24475
0,2.2925
0,2.339
0,2.3195
0,2.22225
0,2.1035
0,2.041
0,2.01625
0,1.97475
0,1.907
0,1.8095
0,1.7085
0,1.6685
0,1.6735
0,1.71625
0,1.826
0,1.91125
0,1.9125
0,1.96525
0,2.03075
0,2.02525
0,2.01925
0,1.997
0,1.94225
0,1.8865
0,1.86425
0,1.90525
0,1.98
0,2.026
0,2.0835
0,2.146
0,2.16525
0,2.12475
0,1.9875
0,1.82
0,1.716
0,1.55375
0,1.65175
0,1.8245
0,2.06125
0,2.2505
0,2.32875
0,2.37575
0,2.349
0,2.3385
0,2.33275
0,2.343
0,2.3485
0,2.32975
0,2.31925
0,2.32925
0,2.376
0,2.421
0,2.385
0,2.34625
0,7.59375
0,4.34825
0,3.5925
0,3.6645
0,3.989
0,3.88075
0,3.214
0,3.75025
0,3.952
0,4.509
