Time,borFie.TBorAve
0,284.65
3600,284.62488
7200,284.5931
10800,284.56262
14400,284.535
18000,284.51062
21600,284.49002
25200,284.4089
28800,284.30154
32400,284.32895
36000,284.35724
39600,284.36023
43200,284.36356
46800,284.37143
50400,284.37808
54000,284.38303
57600,284.38263
61200,284.38123
64800,284.36758
68400,284.36417
72000,284.4071
75600,284.42682
79200,284.42712
82800,284.423
86400,284.41794
90000,284.41263
93600,284.40747
97200,284.40286
100800,284.3993
104400,284.39746
108000,284.3972
111600,284.39758
115200,284.3978
118800,284.3985
122400,284.40408
126000,284.4181
129600,284.43625
133200,284.45187
136800,284.46048
140400,284.46216
144000,284.45917
147600,284.4529
151200,284.4454
154800,284.43878
158400,284.4338
162000,284.43008
165600,284.427
169200,284.4236
172800,284.41904
176400,284.41348
180000,284.40793
183600,284.40286
187200,284.39822
190800,284.39325
194400,284.3879
198000,284.38263
201600,284.3773
205200,284.37274
208800,284.37076
212400,284.37186
216000,284.37485
219600,284.37634
223200,284.37128
226800,284.3594
230400,284.3453
234000,284.3322
237600,284.32132
241200,284.31216
244800,284.3037
248400,284.29495
252000,284.28555
255600,284.27716
259200,284.2704
262800,284.264
266400,284.25775
270000,284.25232
273600,284.2474
277200,284.24277
280800,284.23938
284400,284.17117
288000,284.07205
291600,284.11108
295200,284.1591
298800,284.18304
302400,284.2054
306000,284.22943
309600,284.24823
313200,284.26172
316800,284.2666
320400,284.26495
324000,284.2495
327600,284.24753
331200,284.29425
334800,284.31732
338400,284.3177
342000,284.31146
345600,284.30374
349200,284.29578
352800,284.28796
356400,284.2803
360000,284.27396
363600,284.26898
367200,284.26456
370800,284.1953
374400,284.09634
378000,284.13232
381600,284.1725
385200,284.18994
388800,284.20285
392400,284.21484
396000,284.22372
399600,284.23245
403200,284.23752
406800,284.2408
410400,284.23032
414000,284.2299
417600,284.27716
421200,284.30197
424800,284.3051
428400,284.30197
432000,284.29684
435600,284.29022
439200,284.28326
442800,284.27664
446400,284.27136
450000,284.2676
453600,284.26425
457200,284.19562
460800,284.0975
464400,284.13394
468000,284.17307
471600,284.1894
475200,284.20142
478800,284.21423
482400,284.22458
486000,284.23398
489600,284.23917
493200,284.24182
496800,284.2318
500400,284.23178
504000,284.2762
507600,284.29877
511200,284.29916
514800,284.29294
518400,284.28555
522000,284.27744
525600,284.2687
529200,284.26004
532800,284.25266
536400,284.24597
540000,284.23843
543600,284.16516
547200,284.06213
550800,284.0956
554400,284.13568
558000,284.15387
561600,284.17026
565200,284.18784
568800,284.2013
572400,284.2112
576000,284.21463
579600,284.21506
583200,284.2021
586800,284.20013
590400,284.246
594000,284.26617
597600,284.26495
601200,284.2592
604800,284.25262
608400,284.246
612000,284.24
615600,284.2347
619200,284.23016
622800,284.22604
626400,284.2215
630000,284.15167
633600,284.05206
637200,284.08713
640800,284.12524
644400,284.1387
648000,284.1498
651600,284.16254
655200,284.17236
658800,284.18073
662400,284.1845
666000,284.18655
669600,284.1736
673200,284.17142
676800,284.2201
680400,284.24237
684000,284.24307
687600,284.23862
691200,284.23303
694800,284.22742
698400,284.22195
702000,284.2166
705600,284.21136
709200,284.20636
712800,284.20163
716400,284.19717
720000,284.19284
723600,284.1885
727200,284.185
730800,284.18512
734400,284.1906
738000,284.19772
741600,284.20306
745200,284.2045
748800,284.20062
752400,284.19257
756000,284.18356
759600,284.17557
763200,284.16797
766800,284.16043
770400,284.15347
774000,284.14682
777600,284.14038
781200,284.13458
784800,284.13
788400,284.12646
792000,284.12393
795600,284.12274
799200,284.1229
802800,284.1235
806400,284.12415
810000,284.12573
813600,284.1297
817200,284.13602
820800,284.14285
824400,284.1491
828000,284.15445
831600,284.15836
835200,284.16046
838800,284.16156
842400,284.16306
846000,284.16586
849600,284.17056
853200,284.17703
856800,284.18405
860400,284.19037
864000,284.1946
867600,284.196
871200,284.19574
874800,284.19522
878400,284.19455
882000,284.1937
885600,284.19324
889200,284.1258
892800,284.0258
896400,284.06363
900000,284.11035
903600,284.13824
907200,284.16083
910800,284.18152
914400,284.1987
918000,284.21652
921600,284.22876
925200,284.23322
928800,284.22495
932400,284.22717
936000,284.2634
