Time,borFie.TBorAve
0,284.27902
3600,284.24567
7200,284.20346
10800,284.16293
14400,284.12628
18000,284.09387
21600,284.06653
25200,283.95877
28800,283.81616
32400,283.8526
36000,283.8902
39600,283.8942
43200,283.8986
46800,283.90906
50400,283.91788
54000,283.92447
57600,283.92395
61200,283.92206
64800,283.90396
68400,283.8994
72000,283.95645
75600,283.98267
79200,283.98306
82800,283.97757
86400,283.97086
90000,283.96378
93600,283.9569
97200,283.95084
100800,283.94608
104400,283.94363
108000,283.9433
111600,283.94382
115200,283.94412
118800,283.94507
122400,283.95248
126000,283.97107
129600,283.99518
133200,284.0159
136800,284.02734
140400,284.0296
144000,284.02563
147600,284.01733
151200,284.0074
154800,283.9986
158400,283.99197
162000,283.98703
165600,283.9829
169200,283.97842
172800,283.97235
176400,283.96494
180000,283.95755
183600,283.95084
187200,283.94467
190800,283.93805
194400,283.93097
198000,283.92398
201600,283.91687
205200,283.91086
208800,283.9082
212400,283.90967
216000,283.91367
219600,283.91568
223200,283.90897
226800,283.89316
230400,283.87445
234000,283.85706
237600,283.8426
241200,283.8304
244800,283.81918
248400,283.80753
252000,283.79504
255600,283.7839
259200,283.7749
262800,283.76642
266400,283.75812
270000,283.75092
273600,283.74435
277200,283.73825
280800,283.7337
284400,283.64313
288000,283.51144
291600,283.56332
295200,283.62714
298800,283.659
302400,283.6887
306000,283.7206
309600,283.7456
313200,283.7635
316800,283.76996
320400,283.7678
324000,283.74725
327600,283.74463
331200,283.8067
334800,283.83734
338400,283.83783
342000,283.82956
345600,283.81927
349200,283.80872
352800,283.7983
356400,283.78815
360000,283.7797
363600,283.7731
367200,283.76724
370800,283.67523
374400,283.54376
378000,283.59155
381600,283.64493
385200,283.66812
388800,283.68527
392400,283.7012
396000,283.71298
399600,283.72458
403200,283.73132
406800,283.73572
410400,283.72177
414000,283.72122
417600,283.784
421200,283.81702
424800,283.82117
428400,283.817
432000,283.81015
435600,283.80136
439200,283.7921
442800,283.78336
446400,283.77637
450000,283.77136
453600,283.7669
457200,283.67575
460800,283.5454
464400,283.5938
468000,283.6458
471600,283.66748
475200,283.68344
478800,283.7005
482400,283.71423
486000,283.7267
489600,283.7336
493200,283.7371
496800,283.7238
500400,283.72375
504000,283.78278
507600,283.81274
511200,283.8133
514800,283.805
518400,283.7952
522000,283.7844
525600,283.77277
529200,283.7613
532800,283.75146
536400,283.74258
540000,283.73257
543600,283.63522
547200,283.49838
550800,283.54285
554400,283.59613
558000,283.6203
561600,283.6421
565200,283.66544
568800,283.6833
572400,283.69644
576000,283.701
579600,283.70157
583200,283.68436
586800,283.68176
590400,283.7427
594000,283.76953
597600,283.76788
601200,283.76022
604800,283.7515
608400,283.74274
612000,283.73474
615600,283.72775
619200,283.7217
622800,283.7162
626400,283.7102
630000,283.6174
633600,283.4851
637200,283.53168
640800,283.58234
644400,283.60025
648000,283.61496
651600,283.63187
655200,283.64493
658800,283.65604
662400,283.66107
666000,283.6638
669600,283.64658
673200,283.64368
676800,283.70834
680400,283.7379
684000,283.7389
687600,283.73294
691200,283.72552
694800,283.71805
698400,283.7108
702000,283.7037
705600,283.69675
709200,283.69006
712800,283.68378
716400,283.67786
720000,283.67212
723600,283.66635
727200,283.66168
730800,283.66187
