Time,borFie.TBorAve
0,284.279
3600,284.24564
7200,284.20343
10800,284.1629
14400,284.12625
18000,284.09384
21600,284.0665
25200,283.95874
28800,283.81613
32400,283.85257
36000,283.89017
39600,283.89417
43200,283.89856
46800,283.90903
50400,283.91785
54000,283.92444
57600,283.92392
61200,283.92203
64800,283.90393
68400,283.89938
72000,283.95642
75600,283.98264
79200,283.98303
82800,283.97754
86400,283.97083
90000,283.96375
93600,283.95688
97200,283.9508
100800,283.94604
104400,283.9436
108000,283.94327
111600,283.9438
115200,283.9441
118800,283.94504
122400,283.95245
126000,283.97104
129600,283.99515
133200,284.01587
136800,284.0273
140400,284.02957
144000,284.0256
147600,284.0173
151200,284.00735
154800,283.99857
158400,283.99194
162000,283.987
165600,283.98288
169200,283.9784
172800,283.97232
176400,283.9649
180000,283.95752
183600,283.9508
187200,283.94464
190800,283.93802
194400,283.93094
198000,283.92395
201600,283.91684
205200,283.91083
208800,283.90817
212400,283.90964
216000,283.91364
219600,283.91565
223200,283.90894
226800,283.89313
230400,283.87442
234000,283.85703
237600,283.84256
241200,283.83038
244800,283.81915
248400,283.8075
252000,283.795
255600,283.78387
259200,283.77487
262800,283.7664
266400,283.7581
270000,283.7509
273600,283.74432
277200,283.73822
280800,283.73367
284400,283.6431
288000,283.5114
291600,283.5633
295200,283.6271
298800,283.65897
302400,283.68866
306000,283.72058
309600,283.74557
313200,283.76346
316800,283.76993
320400,283.76776
324000,283.74722
327600,283.7446
331200,283.80667
334800,283.8373
338400,283.8378
342000,283.82953
345600,283.81924
349200,283.8087
352800,283.79828
356400,283.78812
360000,283.77966
363600,283.77307
367200,283.7672
370800,283.6752
374400,283.54373
378000,283.59152
381600,283.6449
385200,283.6681
388800,283.68524
392400,283.70117
396000,283.71295
399600,283.72458
403200,283.7313
406800,283.7357
410400,283.72174
414000,283.7212
417600,283.78397
421200,283.817
424800,283.82114
428400,283.81696
432000,283.81012
435600,283.80133
439200,283.7921
442800,283.78333
446400,283.77634
450000,283.77133
453600,283.76688
457200,283.67572
460800,283.54538
464400,283.59378
468000,283.64578
471600,283.66745
475200,283.6834
478800,283.70047
482400,283.7142
486000,283.72668
489600,283.73358
493200,283.73706
496800,283.72375
500400,283.72372
504000,283.78275
507600,283.8127
511200,283.81326
514800,283.80496
518400,283.79517
522000,283.78436
525600,283.77274
529200,283.76126
532800,283.75143
536400,283.74255
540000,283.73254
543600,283.6352
547200,283.49835
550800,283.54282
554400,283.5961
558000,283.62027
561600,283.64206
565200,283.6654
568800,283.68326
572400,283.6964
576000,283.70096
579600,283.70154
583200,283.68433
586800,283.68173
590400,283.74268
594000,283.7695
597600,283.76785
601200,283.7602
604800,283.75146
608400,283.7427
612000,283.7347
615600,283.72772
619200,283.72168
622800,283.71616
626400,283.71017
630000,283.61737
633600,283.48508
637200,283.53165
640800,283.5823
644400,283.60022
648000,283.61493
651600,283.63184
655200,283.6449
658800,283.656
662400,283.66104
666000,283.66376
669600,283.64655
673200,283.64365
676800,283.7083
680400,283.73788
684000,283.73886
687600,283.7329
691200,283.7255
694800,283.71802
698400,283.71075
702000,283.70367
705600,283.69672
709200,283.69003
712800,283.68375
716400,283.67783
720000,283.6721
723600,283.66632
727200,283.66165
730800,283.66183
734400,283.66913
738000,283.67856
741600,283.68564
745200,283.68756
748800,283.6824
752400,283.67172
756000,283.65973
759600,283.64914
763200,283.639
766800,283.629
770400,283.61975
774000,283.61096
777600,283.6024
781200,283.59467
784800,283.5886
788400,283.5839
792000,283.58054
795600,283.57898
799200,283.57916
802800,283.58
806400,283.58087
810000,283.58295
813600,283.58823
817200,283.59662
820800,283.60574
824400,283.61404
828000,283.62115
831600,283.6263
835200,283.62912
838800,283.63058
842400,283.63257
846000,283.6363
849600,283.64255
853200,283.65115
856800,283.6605
860400,283.66888
864000,283.6745
867600,283.67636
871200,283.676
874800,283.6753
878400,283.6744
882000,283.67328
885600,283.6727
889200,283.58307
892800,283.45023
896400,283.50055
900000,283.56262
903600,283.5997
907200,283.6297
910800,283.65717
914400,283.68
918000,283.70367
921600,283.71994
925200,283.72586
928800,283.7148
932400,283.7178
936000,283.7659
939600,283.79593
943200,283.8025
946800,283.79623
950400,283.78616
954000,283.7749
957600,283.76407
961200,283.75424
964800,283.74557
968400,283.73776
972000,283.72998
975600,283.63382
979200,283.49716
982800,283.54233
986400,283.5984
990000,283.63446
993600,283.66476
997200,283.6919
1000800,283.71338
1004400,283.72864
1008000,283.73758
1011600,283.7432
1015200,283.73785
1018800,283.74353
1022400,283.78885
1026000,283.81976
1029600,283.83176
1033200,283.83072
1036800,283.82562
1040400,283.82016
1044000,283.81503
1047600,283.80966
1051200,283.8049
1054800,283.80304
1058400,283.80527
1062000,283.7222
1065600,283.59735
1069200,283.6462
1072800,283.6973
1076400,283.7282
1080000,283.75308
1083600,283.77466
1087200,283.79156
1090800,283.80734
1094400,283.8194
1098000,283.82605
1101600,283.82413
1105200,283.82867
1108800,283.8612
1112400,283.88632
1116000,283.90344
1119600,283.91263
1123200,283.91626
1126800,283.91812
1130400,283.91977
1134000,283.9205
1137600,283.919
1141200,283.91556
1144800,283.911
1148400,283.8186
1152000,283.68506
1155600,283.72464
1159200,283.766
1162800,283.78738
1166400,283.80493
1170000,283.8214
1173600,283.8354
1177200,283.84763
1180800,283.85287
1184400,283.85178
1188000,283.84476
1191600,283.84717
1195200,283.88116
1198800,283.90524
1202400,283.9165
1206000,283.91708
1209600,283.91263
1213200,283.90732
1216800,283.9027
1220400,283.89844
1224000,283.8935
1227600,283.88733
1231200,283.8815
1234800,283.79214
1238400,283.66443
1242000,283.70782
1245600,283.75073
1249200,283.77127
1252800,283.7875
1256400,283.80255
1260000,283.8138
1263600,283.82162
1267200,283.82443
1270800,283.82584
1274400,283.8219
1278000,283.82712
1281600,283.8653
1285200,283.8908
1288800,283.8997
1292400,283.8973
1296000,283.89163
1299600,283.885
1303200,283.87784
1306800,283.8712
1310400,283.8654
1314000,283.85938
1317600,283.85287
1321200,283.84583
1324800,283.83792
1328400,283.83188
1332000,283.8374
1335600,283.85626
1339200,283.87704
1342800,283.89432
1346400,283.90405
1350000,283.9054
1353600,283.89795
1357200,283.88312
1360800,283.86603
1364400,283.84756
1368000,283.82886
1371600,283.81174
1375200,283.79706
1378800,283.7851
1382400,283.77554
1386000,283.76685
1389600,283.75735
1393200,283.74692
1396800,283.73676
1400400,283.72772
1404000,283.7199
1407600,283.71326
1411200,283.70764
1414800,283.7057
1418400,283.7152
1422000,283.73337
1425600,283.74454
1429200,283.7482
1432800,283.74896
1436400,283.74738
1440000,283.74222
1443600,283.73264
1447200,283.722
1450800,283.71173
1454400,283.70047
1458000,283.68832
1461600,283.67673
1465200,283.6668
1468800,283.6593
1472400,283.65338
1476000,283.64844
1479600,283.645
1483200,283.64243
1486800,283.64014
1490400,283.6381
1494000,283.54865
1497600,283.4192
1501200,283.4738
1504800,283.5397
1508400,283.57718
1512000,283.60748
1515600,283.6355
1519200,283.65912
1522800,283.68442
1526400,283.70618
1530000,283.72128
1533600,283.72095
1537200,283.72974
1540800,283.7753
1544400,283.81015
1548000,283.833
1551600,283.84384
1555200,283.84647
1558800,283.84628
1562400,283.84592
1566000,283.84595
1569600,283.84592
1573200,283.84583
1576800,283.84576
1580400,283.75558
1584000,283.62134
1587600,283.6645
1591200,283.71362
1594800,283.74567
1598400,283.77176
1602000,283.79318
1605600,283.80933
1609200,283.82526
1612800,283.8381
1616400,283.84412
1620000,283.83972
1623600,283.84094
1627200,283.8711
1630800,283.89383
1634400,283.90665
1638000,283.9081
1641600,283.90222
1645200,283.89374
1648800,283.88412
1652400,283.87448
1656000,283.86566
1659600,283.85715
1663200,283.84854
1666800,283.7513
1670400,283.61322
1674000,283.6553
1677600,283.70395
1681200,283.73264
1684800,283.762
1688400,283.79437
1692000,283.82037
1695600,283.84583
1699200,283.85754
1702800,283.85703
1706400,283.85135
1710000,283.8545
1713600,283.8838
1717200,283.90625
1720800,283.91986
1724400,283.9233
1728000,283.91974
1731600,283.9129
1735200,283.90442
1738800,283.8953
1742400,283.88626
1746000,283.87875
1749600,283.87384
1753200,283.7848
1756800,283.65683
1760400,283.70105
1764000,283.74542
1767600,283.769
1771200,283.7881
1774800,283.8033
1778400,283.81412
1782000,283.82385
1785600,283.83014
1789200,283.8344
1792800,283.8346
1796400,283.84216
1800000,283.87564
1803600,283.9009
1807200,283.91644
1810800,283.9218
1814400,283.92044
1818000,283.91586
1821600,283.90973
1825200,283.903
1828800,283.89603
1832400,283.889
1836000,283.88196
1839600,283.7876
1843200,283.65295
1846800,283.69296
1850400,283.73633
1854000,283.7589
1857600,283.78036
1861200,283.80243
1864800,283.81714
1868400,283.82855
1872000,283.83475
1875600,283.83652
1879200,283.8345
1882800,283.8414
1886400,283.87534
1890000,283.9006
1893600,283.91565
1897200,283.92194
1900800,283.92465
1904400,283.92642
1908000,283.92786
1911600,283.92865
1915200,283.9287
1918800,283.92767
1922400,283.9253
1926000,283.92108
1929600,283.91495
1933200,283.90887
1936800,283.90784
1940400,283.91483
1944000,283.9283
1947600,283.9456
1951200,283.96124
1954800,283.97025
1958400,283.96967
1962000,283.96002
1965600,283.94678
1969200,283.93372
1972800,283.92215
1976400,283.91098
1980000,283.89932
1983600,283.88834
1987200,283.87866
1990800,283.86887
1994400,283.85803
1998000,283.8476
2001600,283.83862
2005200,283.82962
2008800,283.81863
2012400,283.80646
2016000,283.79422
2019600,283.78696
2023200,283.79465
2026800,283.81467
2030400,283.83386
2034000,283.85184
2037600,283.8619
2041200,283.85733
2044800,283.84164
2048400,283.8192
2052000,283.7944
2055600,283.77225
2059200,283.75427
2062800,283.73938
2066400,283.72733
2070000,283.7185
2073600,283.7127
2077200,283.70746
2080800,283.69974
2084400,283.69147
2088000,283.684
2091600,283.67618
2095200,283.66943
2098800,283.5766
2102400,283.4437
2106000,283.49426
2109600,283.55368
2113200,283.5833
2116800,283.61176
2120400,283.63983
2124000,283.66263
2127600,283.67932
2131200,283.68597
2134800,283.68753
2138400,283.67383
2142000,283.67554
2145600,283.73138
2149200,283.75873
2152800,283.75623
2156400,283.74466
2160000,283.73178
2163600,283.71997
2167200,283.70953
2170800,283.69876
2174400,283.6875
2178000,283.6784
2181600,283.66992
2185200,283.57327
2188800,283.43723
2192400,283.48462
2196000,283.54202
2199600,283.57394
2203200,283.60373
2206800,283.63354
2210400,283.65854
2214000,283.67538
2217600,283.6833
2221200,283.68552
2224800,283.6735
2228400,283.6749
2232000,283.72552
2235600,283.74606
2239200,283.73654
2242800,283.7194
2246400,283.70132
2250000,283.6844
2253600,283.67056
2257200,283.65994
2260800,283.65097
2264400,283.64243
2268000,283.63385
2271600,283.53973
2275200,283.4072
2278800,283.45477
2282400,283.5077
2286000,283.53082
2289600,283.5546
2293200,283.58093
2296800,283.6006
2300400,283.61194
2304000,283.61374
2307600,283.61343
2311200,283.59613
2314800,283.59387
2318400,283.65634
2322000,283.68613
2325600,283.68835
2329200,283.68408
2332800,283.6787
2336400,283.67355
2340000,283.6699
2343600,283.66727
2347200,283.66504
2350800,283.6628
2354400,283.66013
2358000,283.5708
2361600,283.44235
2365200,283.49176
2368800,283.54745
2372400,283.57993
2376000,283.61057
2379600,283.64377
2383200,283.67188
2386800,283.69568
2390400,283.70505
2394000,283.70578
