Time,TAvgFluid
0,284.5224
3600,284.46484
7200,284.39148
10800,284.3295
14400,284.27814
18000,284.23895
21600,284.21246
25200,283.30945
28800,284.00613
32400,284.08582
36000,284.00674
39600,284.03217
43200,284.0938
46800,284.1034
50400,284.13373
54000,284.12357
57600,284.11417
61200,284.12952
64800,283.93857
68400,284.32568
72000,284.30273
75600,284.24927
79200,284.23773
82800,284.22342
86400,284.2071
90000,284.19424
93600,284.1837
97200,284.1759
100800,284.17572
104400,284.18054
108000,284.18628
111600,284.18906
115200,284.18903
118800,284.20172
122400,284.25638
126000,284.3165
129600,284.3587
133200,284.3689
136800,284.3571
140400,284.34033
144000,284.31528
147600,284.29013
151200,284.27185
154800,284.26202
158400,284.25543
162000,284.2504
165600,284.24454
169200,284.2335
172800,284.21768
176400,284.20535
180000,284.19537
183600,284.18768
187200,284.17838
190800,284.16476
194400,284.1555
198000,284.144
201600,284.13416
205200,284.13428
208800,284.14587
212400,284.16116
216000,284.17334
219600,284.1569
223200,284.11145
226800,284.0723
230400,284.04147
234000,284.02087
237600,284.00598
241200,283.99097
244800,283.97552
248400,283.95383
252000,283.93765
255600,283.93115
259200,283.9218
262800,283.9102
266400,283.9032
270000,283.89816
273600,283.8896
277200,283.8879
280800,283.8891
284400,282.9856
288000,283.69373
291600,283.84613
295200,283.8167
298800,283.88126
302400,283.9733
306000,284.00336
309600,284.0363
313200,284.03445
316800,284.00687
320400,283.99625
324000,283.81226
327600,284.2086
331200,284.19443
334800,284.13104
338400,284.10522
342000,284.07993
345600,284.0539
349200,284.03336
352800,284.01108
356400,283.99658
360000,283.9888
363600,283.98013
367200,283.97205
370800,283.07022
374400,283.77954
378000,283.8799
381600,283.8495
385200,283.88486
388800,283.93668
392400,283.9386
396000,283.97302
399600,283.97574
403200,283.97534
406800,283.98648
410400,283.79816
414000,284.19125
417600,284.18448
421200,284.13037
424800,284.11215
428400,284.09424
432000,284.06818
435600,284.04678
439200,284.0275
442800,284.0145
446400,284.00897
450000,284.00302
453600,283.99405
457200,283.09268
460800,283.80685
464400,283.89615
468000,283.8648
471600,283.89386
475200,283.95065
478800,283.96085
482400,283.99283
486000,283.99683
489600,283.99127
493200,284.0002
496800,283.82715
500400,284.19434
504000,284.18738
507600,284.1262
511200,284.09702
514800,284.07483
518400,284.04865
522000,284.02264
525600,283.99792
529200,283.9809
532800,283.9696
536400,283.95023
540000,283.92908
543600,283.0178
547200,283.71753
550800,283.82928
554400,283.79666
558000,283.8461
561600,283.91873
565200,283.93625
568800,283.9659
572400,283.9604
576000,283.94522
579600,283.954
583200,283.75632
586800,284.1591
590400,284.12717
594000,284.06036
597600,284.04172
601200,284.02057
604800,283.9987
608400,283.98175
612000,283.96872
615600,283.95795
619200,283.9499
622800,283.9394
626400,283.92624
630000,283.0247
633600,283.72784
637200,283.82855
640800,283.77542
644400,283.80908
648000,283.86996
651600,283.8776
655200,283.90823
658800,283.9059
662400,283.90112
666000,283.91275
669600,283.69946
673200,284.12836
676800,284.0952
680400,284.03525
684000,284.0185
687600,283.9981
691200,283.97894
694800,283.96277
698400,283.94803
702000,283.9343
705600,283.922
709200,283.91132
712800,283.90143
716400,283.8928
720000,283.88266
723600,283.8746
727200,283.87546
730800,283.90488
734400,283.931
738000,283.94394
741600,283.946
745200,283.92792
748800,283.8983
752400,283.8703
756000,283.85464
759600,283.83798
763200,283.81973
766800,283.80606
770400,283.79318
774000,283.77997
777600,283.7682
781200,283.76254
784800,283.75873
788400,283.7566
792000,283.75827
795600,283.7649
799200,283.7708
802800,283.7741
806400,283.77908
810000,283.7934
813600,283.81665
817200,283.83716
820800,283.85214
824400,283.86487
828000,283.87314
831600,283.87436
835200,283.87262
838800,283.8749
842400,283.88217
846000,283.89514
849600,283.9145
853200,283.93323
856800,283.94806
860400,283.95612
864000,283.9524
867600,283.9451
871200,283.94156
874800,283.93912
878400,283.93384
882000,283.93237
885600,283.93283
889200,283.0064
892800,283.72528
896400,283.84076
900000,283.85226
903600,283.90506
907200,283.97635
910800,283.991
914400,284.04996
918000,284.06857
921600,284.06384
925200,284.03775
928800,283.92963
932400,284.19943
936000,284.2132
939600,284.18472
943200,284.14612
946800,284.11786
950400,284.08783
954000,284.06317
957600,284.0425
961200,284.02625
964800,284.0126
968400,283.99905
972000,283.983
975600,283.0592
979200,283.77292
982800,283.86554
986400,283.88614
990000,283.95105
993600,284.01004
997200,284.0424
1000800,284.06448
1004400,284.067
1008000,284.06863
1011600,284.0697
1015200,283.97406
1018800,284.2185
1022400,284.2365
1026000,284.23285
1029600,284.2022
1033200,284.18112
1036800,284.164
1040400,284.15082
1044000,284.13638
1047600,284.1231
1051200,284.1191
1054800,284.12708
1058400,284.14142
1062000,283.24088
1065600,283.96033
1069200,284.01328
1072800,284.02783
1076400,284.07736
1080000,284.12613
1083600,284.14304
1087200,284.17053
1090800,284.19244
1094400,284.18622
1098000,284.19168
1101600,284.12042
1105200,284.2917
1108800,284.30615
1112400,284.32806
1116000,284.33197
1119600,284.32288
1123200,284.31705
1126800,284.31522
1130400,284.31226
1134000,284.30295
1137600,284.28912
1141200,284.27698
1144800,284.2623
1148400,283.35013
1152000,284.0487
1155600,284.08493
1159200,284.0783
1162800,284.1196
1166400,284.16135
1170000,284.17953
1173600,284.20523
1177200,284.21292
1180800,284.18494
1184400,284.1911
1188000,284.11343
1191600,284.30316
1195200,284.31686
1198800,284.32327
1202400,284.30496
1206000,284.28363
1209600,284.26724
1213200,284.25623
1216800,284.24667
1220400,284.23587
1224000,284.22095
1227600,284.20642
1231200,284.20264
1234800,283.31555
1238400,284.0174
1242000,284.05798
1245600,284.04468
1249200,284.0836
1252800,284.12366
1256400,284.1376
1260000,284.15155
1263600,284.14984
1267200,284.13928
1270800,284.15656
1274400,284.07663
1278000,284.28394
1281600,284.2995
1285200,284.2942
1288800,284.26544
1292400,284.24677
1296000,284.23016
1299600,284.21127
1303200,284.19604
1306800,284.1865
1310400,284.17474
1314000,284.16156
1317600,284.14865
1321200,284.13406
1324800,284.11652
1328400,284.1293
1332000,284.19968
1335600,284.2418
1339200,284.2752
1342800,284.28546
1346400,284.27615
1350000,284.2532
1353600,284.20624
1357200,284.17072
1360800,284.13327
1364400,284.09573
1368000,284.0659
1371600,284.04346
1375200,284.0268
1378800,284.0165
1382400,284.00702
1386000,283.99316
1389600,283.97528
1393200,283.9595
1396800,283.94818
1400400,283.93872
1404000,283.9318
1407600,283.92633
1411200,283.92267
1414800,283.94846
1418400,284.02133
1422000,284.03543
1425600,284.02808
1429200,284.0289
1432800,284.02325
1436400,284.0135
1440000,283.9859
1443600,283.9629
1447200,283.94772
1450800,283.9274
1454400,283.90356
1458000,283.88486
1461600,283.8695
1465200,283.86246
1468800,283.85797
1472400,283.85202
1476000,283.85153
1479600,283.85217
1483200,283.851
1486800,283.85098
1490400,283.8502
1494000,282.94464
1497600,283.66995
1501200,283.80435
1504800,283.80637
1508400,283.8629
1512000,283.93555
1515600,283.95444
1519200,284.0135
1522800,284.0466
1526400,284.06754
1530000,284.0626
1533600,283.9782
1537200,284.2097
1540800,284.23126
1544400,284.2597
1548000,284.2596
1551600,284.24225
1555200,284.22964
1558800,284.22098
1562400,284.21622
1566000,284.21103
1569600,284.20627
1573200,284.20316
1576800,284.19955
1580400,283.26578
1584000,283.98123
1587600,284.03198
1591200,284.056
1594800,284.1097
1598400,284.15652
1602000,284.17
1605600,284.1981
1609200,284.22574
1612800,284.21643
1616400,284.21597
1620000,284.1337
1623600,284.30356
1627200,284.3149
1630800,284.3301
1634400,284.31418
1638000,284.2846
1641600,284.26117
1645200,284.23715
1648800,284.21426
1652400,284.19766
1656000,284.1815
1659600,284.16476
1663200,284.14865
1666800,283.2179
1670400,283.93375
1674000,283.99884
1677600,284.006
1681200,284.0618
1684800,284.16666
1688400,284.17917
1692000,284.2483
1695600,284.25803
1699200,284.21558
1702800,284.21753
1706400,284.15665
1710000,284.31192
1713600,284.32495
1717200,284.34286
1720800,284.3325
1724400,284.3093
1728000,284.28787
1731600,284.26505
1735200,284.2438
1738800,284.22375
1742400,284.2081
1746000,284.20206
1749600,284.1997
1753200,283.30765
1756800,284.01556
1760400,284.0573
1764000,284.05222
1767600,284.10083
1771200,284.1365
1774800,284.14407
1778400,284.1646
1782000,284.1742
1785600,284.16742
1789200,284.18658
1792800,284.13025
1796400,284.2987
1800000,284.31567
1803600,284.33624
1807200,284.329
1810800,284.31104
1814400,284.29358
1818000,284.27505
1821600,284.25812
1825200,284.24255
1828800,284.22665
1832400,284.2144
1836000,284.19766
1839600,283.2873
1843200,283.98676
1846800,284.03674
1850400,284.02872
1854000,284.0765
1857600,284.1461
1861200,284.1545
1864800,284.17392
1868400,284.18564
1872000,284.1664
1875600,284.18112
1879200,284.12445
1882800,284.2973
1886400,284.3139
1890000,284.33197
1893600,284.32452
1897200,284.31985
1900800,284.31674
1904400,284.31528
1908000,284.31186
1911600,284.3083
1915200,284.30264
1918800,284.2946
1922400,284.2834
1926000,284.26755
1929600,284.2504
1933200,284.24777
1936800,284.27216
1940400,284.3045
1944000,284.34503
1947600,284.37692
1951200,284.38657
1954800,284.37534
1958400,284.33774
1962000,284.30304
1965600,284.27527
1969200,284.25458
1972800,284.23563
1976400,284.2126
1980000,284.19223
1983600,284.17935
1987200,284.16476
1990800,284.14423
1994400,284.12625
1998000,284.11465
2001600,284.10468
2005200,284.08344
2008800,284.06226
2012400,284.04132
2016000,284.02542
2019600,284.05222
2023200,284.1326
2026800,284.1616
2030400,284.20056
2034000,284.225
2037600,284.19363
2041200,284.1475
2044800,284.09506
2048400,284.0398
2052000,283.99988
2055600,283.97507
2059200,283.95416
2062800,283.9382
2066400,283.93033
2070000,283.9285
2073600,283.93
2077200,283.91547
2080800,283.90012
2084400,283.89575
2088000,283.8821
2091600,283.8737
2095200,283.87128
2098800,282.9617
2102400,283.67807
2106000,283.80875
2109600,283.77573
2113200,283.8503
2116800,283.92233
2120400,283.95178
2124000,283.9879
2127600,283.97958
2131200,283.9711
2134800,283.9664
2138400,283.82062
2142000,284.15903
2145600,284.15356
2149200,284.0843
2152800,284.04977
2156400,284.0193
2160000,283.9936
2163600,283.97394
2167200,283.95584
2170800,283.92868
2174400,283.91705
2178000,283.907
2181600,283.88773
2185200,282.97147
2188800,283.68533
2192400,283.80054
2196000,283.78717
2199600,283.86124
2203200,283.93018
2206800,283.9752
2210400,283.99734
2214000,283.99896
2217600,283.98605
2221200,283.9854
2224800,283.845
2228400,284.15933
2232000,284.14078
2235600,284.05408
2239200,284.01248
2242800,283.9741
2246400,283.9373
2250000,283.9127
2253600,283.89868
2257200,283.88556
2260800,283.87335
2264400,283.8587
2268000,283.8467
2271600,282.9472
2275200,283.65488
2278800,283.76202
2282400,283.71796
2286000,283.7799
2289600,283.85846
2293200,283.8825
2296800,283.9022
2300400,283.88553
2304000,283.87283
2307600,283.88303
2311200,283.68454
2314800,284.09177
2318400,284.0665
2322000,284.01044
2325600,283.9961
2329200,283.98105
2332800,283.96445
2336400,283.95648
2340000,283.95154
2343600,283.9464
2347200,283.9421
2350800,283.9364
2354400,283.9292
2358000,283.03186
2361600,283.74612
2365200,283.8326
2368800,283.83688
2372400,283.89365
2376000,283.98856
2379600,284.01666
2383200,284.07315
2386800,284.0705
2390400,284.03375
2394000,284.05026
2397600,283.949
2401200,284.18826
2404800,284.1998
2408400,284.16113
2412000,284.13507
2415600,284.11783
2419200,284.09988
2422800,284.07706
2426400,284.05133
2430000,284.03055
2433600,284.0089
2437200,283.987
2440800,283.96838
2444400,283.0635
2448000,283.76886
2451600,283.84995
2455200,283.8103
2458800,283.85754
2462400,283.91486
2466000,283.93628
2469600,283.96948
2473200,283.97458
2476800,283.98062
2480400,284.00162
2484000,283.88565
2487600,284.16336
2491200,284.18192
2494800,284.1616
2498400,284.13205
2502000,284.11258
2505600,284.0905
2509200,284.0626
2512800,284.03738
2516400,284.01785
2520000,283.99738
2523600,283.97882
2527200,283.9635
2530800,283.94302
2534400,283.92572
2538000,283.9449
2541600,284.00876
2545200,284.02957
2548800,284.0479
2552400,284.06467
2556000,284.0786
2559600,284.06592
2563200,284.02155
2566800,283.97775
2570400,283.9457
2574000,283.92358
2577600,283.90494
2581200,283.88806
2584800,283.87277
2588400,283.8566
2592000,283.84555
2595600,283.8428
2599200,283.83896
2602800,283.8296
2606400,283.8226
2610000,283.81583
2613600,283.80716
2617200,283.79968
2620800,283.80096
2624400,283.84143
2628000,283.9208
2631600,283.98434
2635200,284.01486
2638800,284.0128
2642400,283.98212
2646000,283.94962
2649600,283.9184
2653200,283.88248
2656800,283.8524
2660400,283.8308
2664000,283.81726
2667600,283.80615
2671200,283.79782
2674800,283.79156
2678400,283.78708
2682000,283.7872
2685600,283.78592
2689200,283.7868
2692800,283.78964
2696400,283.79205
2700000,283.7949
2703600,282.88812
2707200,283.61978
2710800,283.75034
2714400,283.75452
2718000,283.8102
2721600,283.8806
2725200,283.89093
2728800,283.939
2732400,283.9555
2736000,283.95673
2739600,283.94846
2743200,283.83856
2746800,284.12592
2750400,284.1452
2754000,284.134
2757600,284.09854
2761200,284.0766
2764800,284.06186
2768400,284.04904
2772000,284.0377
2775600,284.0311
2779200,284.02582
2782800,284.01993
2786400,284.01175
2790000,283.08096
2793600,283.81808
2797200,283.8842
2800800,283.89093
2804400,283.9424
2808000,283.99683
2811600,284.02475
2815200,284.05325
