Time,TAvgFluid
0,283.1116
3600,283.98352
7200,283.86868
10800,283.7813
14400,283.71042
18000,283.65546
21600,283.6169
25200,282.62805
28800,283.2103
32400,283.38544
36000,283.34988
39600,283.3703
43200,283.43582
46800,283.45706
50400,283.49432
54000,283.48917
57600,283.47784
61200,283.4918
64800,283.28616
68400,283.67087
72000,283.7108
75600,283.66763
79200,283.64435
82800,283.6221
86400,283.60025
90000,283.58258
93600,283.56802
97200,283.557
100800,283.5549
104400,283.55975
108000,283.56693
111600,283.57126
115200,283.57193
118800,283.5858
122400,283.64752
126000,283.72397
129600,283.7841
133200,283.8062
136800,283.79715
140400,283.77673
144000,283.74536
147600,283.71225
151200,283.68643
154800,283.6712
158400,283.66147
162000,283.65445
165600,283.6469
169200,283.63354
172800,283.61392
176400,283.5969
180000,283.58282
183600,283.5719
187200,283.55978
190800,283.5428
194400,283.5296
198000,283.51465
201600,283.5012
205200,283.49884
208800,283.51093
212400,283.52972
216000,283.54645
219600,283.5316
223200,283.47943
226800,283.42703
230400,283.38348
234000,283.35315
237600,283.3316
241200,283.31155
244800,283.2912
248400,283.26382
252000,283.2412
255600,283.22977
259200,283.21744
262800,283.20255
266400,283.1921
270000,283.1845
273600,283.1737
277200,283.16983
280800,283.1702
284400,282.18762
288000,282.78342
291600,283.03973
295200,283.07278
298800,283.14917
302400,283.25797
306000,283.3092
309600,283.3546
313200,283.36002
316800,283.33072
320400,283.31345
324000,283.10974
327600,283.5048
331200,283.55673
334800,283.50534
338400,283.4653
342000,283.42798
345600,283.39288
349200,283.3646
352800,283.33557
356400,283.3148
360000,283.30267
363600,283.2912
367200,283.28046
370800,282.29782
374400,282.89493
378000,283.0951
381600,283.11725
385200,283.15918
388800,283.21863
392400,283.23038
396000,283.2701
399600,283.27948
403200,283.281
406800,283.29303
410400,283.0902
414000,283.4819
417600,283.5408
421200,283.50055
424800,283.4709
428400,283.4436
432000,283.41025
435600,283.38138
439200,283.35538
442800,283.33676
446400,283.32758
450000,283.3196
453600,283.3086
457200,282.32645
460800,282.92892
464400,283.11804
468000,283.13733
471600,283.1717
475200,283.23532
478800,283.25674
482400,283.29572
486000,283.3065
489600,283.3025
493200,283.3112
496800,283.12427
500400,283.49063
504000,283.54514
507600,283.4959
511200,283.45288
514800,283.41858
518400,283.38376
522000,283.34967
525600,283.31693
529200,283.29266
532800,283.27612
536400,283.25226
540000,283.22513
543600,282.22913
547200,282.8134
550800,283.0237
554400,283.04526
558000,283.1027
561600,283.18747
565200,283.2208
568800,283.25937
572400,283.25958
576000,283.24304
579600,283.24918
583200,283.03494
586800,283.4353
590400,283.4684
594000,283.41006
597600,283.37628
601200,283.3447
604800,283.31537
608400,283.29205
612000,283.27396
615600,283.2592
619200,283.24792
622800,283.2346
626400,283.21796
630000,282.23453
633600,282.82474
637200,283.02414
640800,283.02145
644400,283.0572
648000,283.12506
651600,283.14468
655200,283.18198
658800,283.1855
662400,283.181
666000,283.1924
669600,282.96228
673200,283.38812
676800,283.42404
680400,283.37418
684000,283.34375
687600,283.3136
691200,283.28738
694800,283.26544
698400,283.24573
702000,283.22748
705600,283.21094
709200,283.1964
712800,283.18314
716400,283.1714
720000,283.15823
723600,283.14713
727200,283.14603
730800,283.17776
734400,283.21188
738000,283.23245
741600,283.2385
745200,283.21964
748800,283.18378
752400,283.14658
756000,283.1226
759600,283.10013
763200,283.07648
766800,283.0574
770400,283.03992
774000,283.02243
777600,283.00644
781200,282.99734
784800,282.9915
788400,282.9881
792000,282.98926
795600,282.99658
799200,283.00427
802800,283.00922
806400,283.01544
810000,283.03195
813600,283.06012
817200,283.08752
820800,283.10883
824400,283.12643
828000,283.13843
831600,283.1418
835200,283.14047
838800,283.14258
842400,283.1508
846000,283.1664
849600,283.19037
853200,283.21515
856800,283.23587
860400,283.2484
864000,283.24658
867600,283.23822
871200,283.23273
874800,283.22903
878400,283.22272
882000,283.22012
885600,283.22015
889200,282.2128
892800,282.816
896400,283.0333
900000,283.10452
903600,283.17444
907200,283.26065
910800,283.29083
914400,283.36053
918000,283.39252
921600,283.39362
925200,283.36517
928800,283.24216
932400,283.5134
936000,283.5751
939600,283.56085
943200,283.5148
946800,283.47424
950400,283.43378
954000,283.40002
957600,283.3718
961200,283.34933
964800,283.33072
968400,283.31284
972000,283.29227
975600,282.28403
979200,282.8814
982800,283.07297
986400,283.14944
990000,283.23312
993600,283.30872
997200,283.35645
1000800,283.3888
1004400,283.3969
1008000,283.3999
1011600,283.4013
1015200,283.29758
1018800,283.54514
1022400,283.60712
1026000,283.61914
1029600,283.58664
1033200,283.5567
1036800,283.53207
1040400,283.51352
1044000,283.4948
1047600,283.47736
1051200,283.47006
1054800,283.4775
1058400,283.49466
1062000,282.51868
1065600,283.12827
1069200,283.27893
1072800,283.34137
1076400,283.40506
1080000,283.4663
1083600,283.4948
1087200,283.52972
1090800,283.55942
1094400,283.55798
1098000,283.5638
1101600,283.487
1105200,283.65985
1108800,283.70514
1112400,283.7406
1116000,283.7503
1119600,283.7417
1123200,283.7336
1126800,283.73007
1130400,283.72638
1134000,283.71588
1137600,283.69922
1141200,283.6831
1144800,283.6643
1148400,282.6691
1152000,283.2524
1155600,283.38046
1159200,283.41583
1162800,283.4658
1166400,283.51688
1170000,283.54507
1173600,283.57803
1177200,283.59195
1180800,283.56403
1184400,283.5656
1188000,283.48083
1191600,283.67252
1195200,283.72028
1198800,283.73962
1202400,283.7221
1206000,283.69498
1209600,283.67178
1213200,283.65558
1216800,283.64252
1220400,283.62872
1224000,283.6102
1227600,283.5912
1231200,283.58365
1234800,282.6176
1238400,283.2098
1242000,283.34442
1245600,283.37338
1249200,283.41943
1252800,283.46777
1256400,283.49084
1260000,283.51013
1263600,283.51135
1267200,283.49997
1270800,283.51648
1274400,283.43228
1278000,283.64325
1281600,283.6962
1285200,283.70392
1288800,283.67282
1292400,283.64584
1296000,283.62234
1299600,283.59775
1303200,283.57706
1306800,283.5631
1310400,283.54797
1314000,283.5311
1317600,283.51407
1321200,283.49518
1324800,283.47272
1328400,283.48257
1332000,283.56073
1335600,283.62082
1339200,283.6689
1342800,283.68857
1346400,283.6817
1350000,283.6551
1353600,283.59894
1357200,283.55005
1360800,283.50024
1364400,283.45065
1368000,283.40945
1371600,283.37772
1375200,283.35403
1378800,283.33868
1382400,283.32565
1386000,283.30826
1389600,283.28568
1393200,283.26428
1396800,283.24792
1400400,283.23456
1404000,283.22458
1407600,283.21677
1411200,283.2113
1414800,283.23828
1418400,283.32217
1422000,283.35272
1425600,283.351
1429200,283.35092
1432800,283.34406
1436400,283.3321
1440000,283.29987
1443600,283.26904
1447200,283.24677
1450800,283.22064
1454400,283.19016
1458000,283.1643
1461600,283.14285
1465200,283.13132
1468800,283.12433
1472400,283.11667
1476000,283.11472
1479600,283.11493
1483200,283.11365
1486800,283.11328
1490400,283.11224
1494000,282.12717
1497600,282.74118
1501200,282.98114
1504800,283.04584
1508400,283.11877
1512000,283.2065
1515600,283.24158
1519200,283.3122
1522800,283.36008
1526400,283.39185
1530000,283.39203
1533600,283.30014
1537200,283.53525
1540800,283.59906
1544400,283.6461
1548000,283.65317
1551600,283.63492
1555200,283.61755
1558800,283.60483
1562400,283.59763
1566000,283.59103
1569600,283.58502
1573200,283.58078
1576800,283.5763
1580400,282.56018
1584000,283.1582
1587600,283.30414
1591200,283.37643
1594800,283.44662
1598400,283.50714
1602000,283.53177
1605600,283.56653
1609200,283.60233
1612800,283.59866
1616400,283.59775
1620000,283.5077
1623600,283.6765
1627200,283.71762
1630800,283.74515
1634400,283.73187
1638000,283.6969
1641600,283.66467
1645200,283.63257
1648800,283.60214
1652400,283.57883
1656000,283.55725
1659600,283.5354
1663200,283.51413
1666800,282.49814
1670400,283.0965
1674000,283.25824
1677600,283.31494
1681200,283.38477
1684800,283.5078
1688400,283.54248
1692000,283.6246
1695600,283.64865
1699200,283.60727
1702800,283.6015
1706400,283.53326
1710000,283.69046
1713600,283.73187
1717200,283.762
1720800,283.75528
1724400,283.72845
1728000,283.69992
1731600,283.6698
1735200,283.64145
1738800,283.61478
1742400,283.59314
1746000,283.58282
1749600,283.57855
1753200,282.60788
1756800,283.20578
1760400,283.34253
1764000,283.38092
1767600,283.43918
1771200,283.48502
1774800,283.50073
1778400,283.5257
1782000,283.5401
1785600,283.53537
1789200,283.5553
1792800,283.4973
1796400,283.6706
1800000,283.71878
1803600,283.75293
1807200,283.75024
1810800,283.72968
1814400,283.70657
1818000,283.6821
1821600,283.65945
1825200,283.63864
1828800,283.6178
1832400,283.6009
1836000,283.57974
1839600,282.5861
1843200,283.1705
1846800,283.3137
1850400,283.35016
1854000,283.4075
1857600,283.48993
1861200,283.5131
1864800,283.53867
1868400,283.55518
1872000,283.53705
1875600,283.54977
1879200,283.48993
1882800,283.66772
1886400,283.7164
1890000,283.74805
1893600,283.74457
1897200,283.7383
1900800,283.73334
1904400,283.73087
1908000,283.72693
1911600,283.72256
1915200,283.7158
1918800,283.70593
1922400,283.69205
1926000,283.6724
1929600,283.65027
1933200,283.64346
1936800,283.66876
1940400,283.70865
1944000,283.76038
1947600,283.80457
1951200,283.82315
1954800,283.81424
1958400,283.77145
1962000,283.72574
1965600,283.68695
1969200,283.6575
1972800,283.63184
1976400,283.60245
1980000,283.57516
1983600,283.55624
1987200,283.53702
1990800,283.5113
1994400,283.48712
1998000,283.47003
2001600,283.45602
2005200,283.43045
2008800,283.40283
2012400,283.37488
2016000,283.35242
2019600,283.3774
2023200,283.46918
2026800,283.51755
2030400,283.56955
2034000,283.60486
2037600,283.57684
2041200,283.52145
2044800,283.45367
2048400,283.38092
2052000,283.3244
2055600,283.28726
2059200,283.2581
2062800,283.2358
2066400,283.22333
2070000,283.21906
2073600,283.21988
2077200,283.20416
2080800,283.1846
2084400,283.17596
2088000,283.1593
2091600,283.1472
2095200,283.14215
2098800,282.15198
2102400,282.75543
2106000,282.98944
2109600,283.01486
2113200,283.1004
2116800,283.18918
2120400,283.23648
2124000,283.2843
2127600,283.28317
2131200,283.27362
2134800,283.26614
2138400,283.1061
2142000,283.44586
2145600,283.49792
2149200,283.4388
2152800,283.38843
2156400,283.34375
2160000,283.30768
2163600,283.28018
2167200,283.25592
2170800,283.22232
2174400,283.2038
2178000,283.18942
2181600,283.16605
2185200,282.16553
2188800,282.76425
2192400,282.9807
2196000,283.02457
2199600,283.1127
2203200,283.1991
2206800,283.26285
2210400,283.29825
2214000,283.30603
2217600,283.29294
2221200,283.28952
2224800,283.13596
2228400,283.45078
2232000,283.48428
2235600,283.40253
2239200,283.34042
2242800,283.28506
2246400,283.23514
2250000,283.1999
2253600,283.17862
2257200,283.16083
2260800,283.14462
2264400,283.12585
2268000,283.10944
2271600,282.12817
2275200,282.7237
2278800,282.93106
2282400,282.93964
2286000,283.00815
2289600,283.1011
2293200,283.1433
2296800,283.17267
2300400,283.15915
2304000,283.1426
2307600,283.1501
2311200,282.93546
2314800,283.3407
2318400,283.38184
2322000,283.3367
2325600,283.31
2329200,283.2864
2332800,283.26416
2336400,283.25186
2340000,283.24454
2343600,283.2379
2347200,283.23224
2350800,283.2251
2354400,283.216
2358000,282.23856
2361600,282.84198
2365200,283.02832
2368800,283.08588
2372400,283.15714
2376000,283.26938
2379600,283.31912
2383200,283.39
2386800,283.39905
2390400,283.36093
2394000,283.37146
2397600,283.2625
2401200,283.50412
2404800,283.55804
2408400,283.53055
2412000,283.496
2415600,283.46942
2419200,283.44495
2422800,283.4161
2426400,283.38324
2430000,283.35492
2433600,283.32635
2437200,283.2976
2440800,283.27228
2444400,282.28372
2448000,282.87555
2451600,283.05402
2455200,283.06235
2458800,283.1145
2462400,283.18185
2466000,283.21652
2469600,283.25906
2473200,283.27173
2476800,283.28055
2480400,283.3046
2484000,283.18268
2487600,283.46335
2491200,283.53122
2494800,283.52673
2498400,283.49225
2502000,283.46326
2505600,283.43356
2509200,283.39813
2512800,283.3647
2516400,283.33755
2520000,283.31055
2523600,283.28577
2527200,283.26474
2530800,283.23874
2534400,283.21536
2538000,283.23193
2541600,283.3043
2545200,283.34027
2548800,283.36752
2552400,283.39017
2556000,283.4091
2559600,283.39853
2563200,283.34842
2566800,283.29153
2570400,283.24597
2574000,283.21362
2577600,283.18774
2581200,283.16507
2584800,283.14447
2588400,283.1232
2592000,283.10733
2595600,283.1014
2599200,283.0961
2602800,283.08502
2606400,283.07535
2610000,283.06604
2613600,283.05484
2617200,283.04462
2620800,283.04404
2624400,283.08783
2628000,283.18195
2631600,283.26834
2635200,283.3177
2638800,283.32422
2642400,283.29144
2646000,283.24957
2649600,283.20758
2653200,283.1609
2656800,283.11996
2660400,283.0892
2664000,283.0691
2667600,283.05356
2671200,283.04184
2674800,283.03296
2678400,283.02646
2682000,283.0254
2685600,283.0237
2689200,283.02432
2692800,283.02744
2696400,283.03055
2700000,283.0341
2703600,282.04855
2707200,282.66943
2710800,282.9064
2714400,282.97308
2718000,283.04532
2721600,283.13058
2725200,283.15588
2728800,283.2128
2732400,283.24014
2736000,283.24673
2739600,283.2387
2743200,283.11755
2746800,283.40845
2750400,283.4794
2754000,283.48572
2757600,283.44666
2761200,283.41434
2764800,283.39185
2768400,283.3741
2772000,283.35904
2775600,283.34952
2779200,283.3423
2782800,283.33478
2786400,283.32468
2790000,282.31073
2793600,282.93262
2797200,283.09955
2800800,283.15704
2804400,283.2222
2808000,283.2895
2811600,283.33102
2815200,283.36942
2818800,283.38638
2822400,283.38898
2826000,283.39114
2829600,283.29202
2833200,283.51453
2836800,283.56845
2840400,283.56924
2844000,283.52945
2847600,283.49545
2851200,283.4696
2854800,283.4524
2858400,283.43628
2862000,283.42365
2865600,283.4097
2869200,283.3895
2872800,283.36813
2876400,282.35443
2880000,282.97223
2883600,283.1382
2887200,283.19073
2890800,283.25665
2894400,283.32272
2898000,283.36032
2901600,283.39908
2905200,283.42496
2908800,283.43307
2912400,283.4486
2916000,283.37125
2919600,283.56113
2923200,283.6125
2926800,283.65134
2930400,283.65854
2934000,283.64685
2937600,283.6299
2941200,283.61557
2944800,283.6037
2948400,283.59366
2952000,283.58264
2955600,283.57358
2959200,283.56616
2962800,282.57593
