Cooling,Heating
0,5.33825
0,7.53025
0,9.2085
0,10.26875
0,11.015
0,11.41575
0,11.45925
0,48.42575
0,13.25175
0,7.32625
0.012,12.48925
0.512,12.646
0,10.073
0,9.97075
0,9.0755
0,9.85825
0,10.42275
0,9.7195
0,17.6975
0,0.35475
0,2.2665
0,6.376
0,7.477
0,7.9615
0,8.3945
0,8.669
0,8.85375
0,8.94225
0,8.74525
0,8.40325
0,8.11075
0,8.0095
0,8.04225
0,7.52275
0,5.2995
0,3.17575
0,2.17825
0,2.62725
0,3.7785
0,4.763
0,5.79475
0,6.626
0,7.04525
0,7.0915
0,7.07275
0,7.071
0,7.15975
0,7.48725
0,7.98425
0,8.27075
0,8.4265
0,8.49775
0,8.667
0,9.0295
0,9.18375
0,9.423
0,9.59425
0,9.3485
0,8.687
0,8.01125
0,7.606
0,8.46475
0,10.384
0,11.67075
0,12.3415
0,12.53575
0,12.5765
0,12.737
0,12.9875
0,13.52425
0,13.79325
0,13.64625
0,13.68975
0,13.892
0,13.905
0,13.8525
0,13.9885
0,13.84425
0,13.611
0,51.3495
0,16.19
0,7.5475
0,11.29175
0.263,10.712
0,7.8895
0,7.7675
0,7.44825
0,8.354
0,10.01775
0,10.5365
0,18.1095
0,0.3005
0,1.9325
0,6.642
0,8.444
0,9.337
0,10.04575
0,10.499
0,11.04375
0,11.2705
0,11.24725
0,11.338
0,11.46125
0,49.0595
0,13.8085
0,7.359
0,10.86625
0.25,11.16275
0,9.68425
0,10.23725
0,9.278
0,9.603
0,9.97275
0,9.6915
0,17.73325
0,0.25775
0,1.62425
0,5.9815
0,7.564
0,8.284
0,9.14225
0,9.732
0,10.198
0,10.401
0,10.328
0,10.35375
0,10.5695
0,48.18675
0,12.75625
0,6.819
0.011,10.353
0.334,10.88075
0,9.10525
0,9.29125
0,8.49775
0,8.82575
0,9.44025
0,9.23825
0,16.603
0,0.279
0,1.59825
0,6.123
0,8.05175
0,8.8095
0,9.5335
0,10.2305
0,10.85575
0,11.14075
0,11.21525
0,11.703
0,12.27325
0,50.099
0,15.05525
0,7.9375
0.033,11.4825
0.449,11.2335
0,8.908
0,9.02125
0,8.542
0,9.383
0,10.38175
0,10.076
0,18.37825
0,0.37275
0,2.759
0,7.52425
0,8.8895
0,9.5665
0,10.14125
0,10.50725
0,10.73175
0,10.903
0,11.0015
0,11.239
0,11.597
0,49.16
0,14.14025
0,7.63325
0,12.0525
0.329,12.2905
0,10.23725
0,10.51
0,9.767
0,10.336
0,10.858
0,10.4865
0,19.525
0,0.3785
0,2.87675
0,7.47825
0,8.86775
0,9.5955
0,10.10875
0,10.4875
0,10.825
0,11.1355
0,11.39575
0,11.5985
0,11.782
0,11.9285
0,12.15275
0,12.29
0,12.05875
0,10.69175
0,9.702
0,9.48075
0,9.7315
0,10.708
0,11.9425
0,12.84975
0,13.08075
0,13.3605
0,13.75975
0,13.97925
0,14.18125
0,14.423
0,14.618
0,14.567
0,14.48325
0,14.38725
0,14.1785
0,13.81225
0,13.5455
0,13.44025
0,13.27225
0,12.71625
0,11.84975
0,11.22675
0,10.9235
0,10.7145
0,10.655
0,10.83675
0,11.06175
0,11.036
0,10.774
0,10.3085
0,9.651
0,9.11625
0,8.81525
0,8.80475
0,9.235
0,9.69075
0,9.8585
0,9.92725
0,10.114
0,10.12975
0,10.06975
0,48.87625
0,13.21825
0,6.10275
0,7.97525
0.129,7.90925
0,6.1335
0,6.59975
0,4.99125
0.384,5.1425
0,6.00675
0,7.553
0,12.14625
0,0.14
0,0.41175
0,3.24475
0,5.679
0,6.871
0,7.7945
0,8.40475
0,8.84475
0,9.135
0,9.363
0,9.63325
0,10.03575
0,48.47
0,12.83975
0,6.564
0.087,7.85925
0.454,7.18625
0,5.86425
0,5.5745
0,5.55
0.162,6.1785
0,6.51025
0,6.71175
0,10.869
0,0.15825
0,0.264
0,1.96825
0,4.1695
0,5.2665
0,5.83
0,6.14625
0,6.5355
0,6.89
0,6.852
0,6.36275
0,5.73375
0,43.59375
0,8.19675
0,3.956
0.04,5.46825
0.435,5.242
0,4.142
0,4.2995
0,3.83625
2.205,4.0375
0.402,4.375
0,4.3755
0,7.5535
0,0.08425
0,0.092
0,0.28675
0,0.94375
0,1.825
0,2.2865
0,2.42475
0,2.582
0,3.00425
0,3.56975
0,3.98375
0,4.44925
0,42.488
0,7.63375
0,3.77025
0.063,5.845
0.572,5.637
0.095,4.50925
0,4.35675
1.441,4.1895
3.388,4.84
0.127,5.58075
0,5.3475
0,8.55725
0,0.15075
0,0.19025
0,1.092
0,2.60525
0,3.74575
0,4.34375
0,4.59375
0,4.78775
0,5.069
0,5.533
0,5.94775
0,5.87425
0,42.861
0,8.04875
0,4.2025
0.056,6.68275
0.603,6.60625
0,5.477
0,5.47875
0.033,5.3935
1.052,6.088
0,6.48425
0,5.79575
0,9.22475
0,0.177
0,0.27125
0,1.80325
0,3.75875
0,4.674
0,5.19125
0,5.7375
0,6.109
0,6.242
0,6.50375
0,6.84975
0,7.173
0,7.5485
0,8.0295
0,7.203
0,4.11225
0,2.7455
0,2.08725
0,2.401
0,3.3375
0,4.54425
0,6.454
0,7.54875
0,8.535
0,9.46775
0,10.0455
0,10.33325
0,10.456
0,10.4085
0,10.42975
0,10.70875
0,11.16575
0,11.49475
0,11.61025
0,11.67175
0,11.66925
0,11.6515
0,11.59825
0,10.345
0,7.31975
0,7.261
0,8.2
0,8.47525
0,8.80025
0,9.2
0,10.2705
0,10.98775
0,11.2505
0,11.72925
0,12.3615
0,12.73625
0,12.95825
0,12.86275
0,12.739
0,12.7605
0,12.597
0,12.42825
0,12.3825
0,12.31125
0,12.28
0,50.169
0,14.311
0,6.5395
0,9.001
0.125,8.8685
0,7.052
0,7.35025
0,5.766
0,5.2405
0,5.2175
0,6.12725
0,10.0785
0,0.07675
0,0.08025
0,0.4415
0,1.57675
0,2.95225
0,3.7055
0,4.06675
0,4.20975
0,4.38925
0,4.5675
0,4.679
0,4.81375
0,43.92975
0,8.37075
0,3.91225
0.045,4.8555
0.42,4.42975
0.02,3.48
0,3.8115
0.491,3.4295
3.925,3.6745
0.915,3.86225
0,4.00125
0,7.60175
0,0.0805
0,0.10775
0,0.5045
0,1.90425
0,3.452
0,4.35025
0,5.074
0,5.68675
0,6.015
0,6.34925
0,6.7385
0,7.10925
0,45.8095
0,10.037
0,4.87575
0.197,6.58575
1.512,6.255
8.87,4.71125
3.432,4.00925
10.575,3.93025
10.194,4.3915
1.591,4.809
0,4.52075
0,7.0065
0,0.12525
0,0.11375
0,0.3695
0,1.535
0,2.8595
0,3.75525
0,4.50725
0,5.1025
0,5.61175
0,5.9285
0,5.861
0,5.718
0,42.95525
0,7.88525
0,3.9985
0.075,6.17175
0.679,5.7725
0,4.93175
0,5.27675
0,4.8875
1.255,5.16725
0.027,5.45525
0,4.8045
0,7.335
0,0.10875
0,0.10475
0,0.38875
0,1.51075
0,2.682
0,3.48175
0,4.1325
0,4.62775
0,5.0325
0,5.44475
0,5.698
0,6.15025
0,44.03925
0,9.1005
0,4.63325
0.14,6.84525
0.933,6.5015
3.09,4.9215
0,4.6335
1.208,4.82175
3.052,5.271
0.151,5.71275
0,5.171
0,7.6175
0,0.1375
0,0.14575
0,0.5525
0,1.67775
0,2.2725
0,2.54025
0,2.65
0,2.82925
0,3.00375
0,3.248
0,3.56525
0,3.97475
0,4.52725
0,5.06625
0,4.9335
0,3.71675
0,2.4115
0,1.04225
0,0.25475
0,0.4815
0,1.4525
0,3.2485
0,4.54375
0,5.27875
0,5.6425
0,5.9775
0,6.54025
0,6.99475
0,7.125
0,7.3695
0,7.9055
0,8.3075
0,8.41575
0,8.48975
0,9.087
0,9.64875
0,10.1325
0,10.37025
0,8.835
0,5.33925
0,4.6325
0,3.74325
0,3.4225
0,5.35125
0,7.4805
0,9.35875
0,11.005
0,11.808
0,11.9685
0,12.1085
0,12.191
0,12.04225
0,11.749
0,11.433
0,11.889
0,12.34425
0,12.24925
0,12.559
0,12.6545
0,12.49875
0,50.412
0,14.822
0,7.07875
0.016,10.88
0.389,9.75425
0,7.70375
0,7.519
0,6.94075
0,8.0645
0,8.8785
0,9.2145
0,15.3265
0,0.2725
0,1.508
0,6.266
0,8.3135
0,9.31075
0,9.89025
0,10.23075
0,10.57125
0,11.34225
0,11.42775
0,11.47425
0,11.9855
0,50.07725
0,14.4505
0,7.25125
0.084,10.1065
0.714,9.06225
0.381,7.23625
0,6.338
0.24,6.5015
0.689,7.35125
0,8.203
0,8.39475
0,14.3115
0,0.33325
0,2.0375
0,7.31275
0,9.393
0,10.48525
0,11.344
0,11.7045
0,11.70525
0,11.806
0,11.971
0,12.28875
0,12.49825
0,49.904
0,14.66675
0,7.90125
0.023,12.00175
0.471,11.183
0,8.601
0,8.5255
0,8.578
0,9.90925
0,10.70825
0,10.26125
0,18.57675
0,0.382
0,2.51575
0,6.8985
0,8.21025
0,8.764
0,9.23725
0,9.34225
0,9.36225
0,9.452
0,9.54025
0,9.7005
0,9.92025
0,47.42175
0,12.051
0,6.28775
0.164,8.38525
0.983,8.09125
5.181,6.2785
1.529,5.36775
6.417,5.317
5.174,6.11025
0.004,7.052
0,6.48725
0,10.75075
0,0.2235
0,0.55325
0,3.64575
0,5.38425
0,6.07
0,6.5835
0,7.2855
0,8.078
0,8.5965
0,9.1245
0,9.65875
0,10.046
0,47.57875
0,12.35025
0,6.6125
0.028,10.3445
0.501,9.98525
0,8.13825
0,7.92675
0,7.18825
0,7.5685
0,7.755
0,7.14475
0,12.2845
0,0.189
0,0.3815
0,2.958
0,5.10625
0,6.056
0,6.79125
0,7.6875
0,8.401
0,8.82525
0,9.29625
0,9.7005
0,9.97975
0,10.49875
0,10.873
0,9.707
0,6.888
0,6.3995
0,6.207
0,5.981
0,5.7795
0,6.64
0,8.643
0,10.23875
0,11.0215
0,11.307
0,11.5235
0,11.76425
0,12.00425
0,12.318
0,12.42825
0,12.21975
0,12.141
0,12.3625
0,12.47975
0,12.57475
0,12.7515
0,12.8725
0,12.625
0,10.791
0,7.62425
0,5.6655
0,5.43325
0,6.4695
0,8.312
0,9.73575
0,10.74975
0,11.802
0,12.5195
0,12.851
0,12.8965
0,12.942
0,12.962
0,12.9585
0,12.928
