Time,borFie.TBorAve
0,286.27216
3600,286.259
7200,286.24643
10800,286.23654
14400,286.22858
18000,286.22205
21600,286.21664
25200,286.2098
28800,286.17618
32400,286.11038
36000,286.06122
39600,286.0234
43200,285.99292
46800,285.96896
50400,285.95016
54000,285.93414
57600,285.9202
61200,285.90768
64800,285.8955
68400,285.8826
72000,285.87003
75600,285.85995
79200,285.85352
82800,285.8706
86400,285.92175
90000,285.9593
93600,285.98627
97200,286.0063
100800,286.02167
104400,286.0338
108000,286.04367
111600,286.0499
115200,286.03128
118800,285.98373
122400,285.94986
126000,285.92526
129600,285.90695
133200,285.89413
136800,285.88486
140400,285.87677
144000,285.86966
147600,285.86353
151200,285.85672
154800,285.8476
158400,285.8387
162000,285.8315
165600,285.82764
169200,285.84476
172800,285.8919
176400,285.92685
180000,285.9524
183600,285.97165
187200,285.98666
190800,285.99878
194400,286.00876
198000,286.01523
201600,285.99762
205200,285.95172
208800,285.91885
212400,285.89456
216000,285.8755
219600,285.8608
223200,285.84857
226800,285.8355
230400,285.82193
234000,285.81012
237600,285.79953
241200,285.78845
244800,285.77795
248400,285.76868
252000,285.76187
255600,285.7796
259200,285.83365
262800,285.87384
266400,285.9032
270000,285.92535
273600,285.9427
277200,285.95667
280800,285.96817
284400,285.97607
288000,285.9576
291600,285.90732
295200,285.87088
298800,285.84424
302400,285.82407
306000,285.8093
309600,285.79828
313200,285.78885
316800,285.7803
320400,285.77203
324000,285.7625
327600,285.7511
331200,285.74097
334800,285.73364
338400,285.73022
342000,285.75043
345600,285.80438
349200,285.8445
352800,285.8739
356400,285.89618
360000,285.91364
363600,285.92776
367200,285.93945
370800,285.94815
374400,285.93146
378000,285.88217
381600,285.84628
385200,285.8199
388800,285.79913
392400,285.78296
396000,285.76996
399600,285.7589
403200,285.74945
406800,285.74173
410400,285.73557
414000,285.7287
417600,285.72266
421200,285.71713
424800,285.71188
428400,285.7305
432000,285.78366
435600,285.82336
439200,285.85257
442800,285.8746
446400,285.89188
450000,285.90598
453600,285.9178
457200,285.92654
460800,285.9098
464400,285.861
468000,285.82547
471600,285.79947
475200,285.779
478800,285.76297
482400,285.75085
486000,285.7409
489600,285.73218
493200,285.7252
496800,285.7193
500400,285.71237
504000,285.706
507600,285.7
511200,285.69446
514800,285.71326
518400,285.76712
522000,285.80737
525600,285.83688
529200,285.85907
532800,285.8764
536400,285.89047
540000,285.9022
543600,285.9096
547200,285.8885
550800,285.83444
554400,285.79584
558000,285.76843
561600,285.74838
565200,285.73404
568800,285.72348
572400,285.71472
576000,285.70694
579600,285.69965
583200,285.69144
586800,285.68152
590400,285.67236
594000,285.66522
597600,285.66107
601200,285.68198
604800,285.73904
608400,285.78168
612000,285.81308
615600,285.83704
619200,285.85596
622800,285.87137
626400,285.88425
630000,285.89313
633600,285.8742
637200,285.82242
640800,285.78552
644400,285.75882
648000,285.7383
651600,285.72275
655200,285.71075
658800,285.70044
662400,285.69125
666000,285.68338
669600,285.67545
673200,285.66586
676800,285.65698
680400,285.65024
684000,285.64655
687600,285.6678
691200,285.72495
694800,285.76755
698400,285.7989
702000,285.82272
705600,285.84155
709200,285.8569
712800,285.86972
716400,285.87833
720000,285.85898
723600,285.80707
727200,285.76968
730800,285.7412
734400,285.7179
738000,285.69998
741600,285.6868
745200,285.67612
748800,285.66736
752400,285.66
756000,285.6522
759600,285.64252
763200,285.63376
766800,285.6272
770400,285.62375
774000,285.64563
777600,285.70413
781200,285.74783
784800,285.78
788400,285.80453
792000,285.82394
795600,285.8398
799200,285.85315
802800,285.8621
806400,285.84384
810000,285.79517
813600,285.76172
817200,285.73813
820800,285.7201
824400,285.70648
828000,285.6964
831600,285.68835
835200,285.68198
838800,285.67722
842400,285.67267
846000,285.6667
849600,285.6619
853200,285.66016
856800,285.66214
860400,285.68408
864000,285.7343
867600,285.77185
871200,285.79956
874800,285.82074
878400,285.83762
882000,285.85144
885600,285.86307
889200,285.87048
892800,285.85382
896400,285.81052
900000,285.78003
903600,285.7587
907200,285.74265
910800,285.73114
914400,285.72308
918000,285.71664
921600,285.71127
925200,285.7065
928800,285.7006
932400,285.6922
936000,285.68457
939600,285.67877
943200,285.67438
946800,285.69156
950400,285.74084
954000,285.77774
957600,285.80502
961200,285.82584
964800,285.84238
968400,285.85596
972000,285.86737
975600,285.8762
979200,285.86078
982800,285.81378
986400,285.77924
990000,285.75464
993600,285.7372
997200,285.72552
1000800,285.71707
1004400,285.7098
1008000,285.7035
1011600,285.69867
1015200,285.69495
1018800,285.68985
1022400,285.68457
1026000,285.6797
1029600,285.67545
1033200,285.693
1036800,285.7417
1040400,285.77826
1044000,285.8053
1047600,285.82596
1051200,285.84225
1054800,285.85556
1058400,285.86673
1062000,285.8752
1065600,285.86224
1069200,285.82245
1072800,285.7938
1076400,285.77264
1080000,285.756
1083600,285.74432
1087200,285.73642
1090800,285.72977
1094400,285.7238
1098000,285.71927
1101600,285.71594
1105200,285.7112
1108800,285.7063
1112400,285.701
1116000,285.69595
1119600,285.71167
1123200,285.75668
1126800,285.79062
1130400,285.8159
1134000,285.83536
1137600,285.8509
1141200,285.86362
1144800,285.87433
1148400,285.88144
1152000,285.866
1155600,285.82516
1159200,285.79605
1162800,285.7746
1166400,285.75842
1170000,285.74704
1173600,285.73892
1177200,285.73206
1180800,285.7255
1184400,285.71893
1188000,285.7113
1191600,285.70163
1195200,285.6916
1198800,285.68405
1202400,285.68015
1206000,285.6977
1209600,285.74606
1213200,285.78223
1216800,285.8089
1220400,285.82922
1224000,285.84528
1227600,285.8584
1231200,285.8694
1234800,285.87726
1238400,285.86224
1242000,285.81973
1245600,285.78888
1249200,285.76605
1252800,285.74823
1256400,285.73447
1260000,285.72372
1263600,285.71423
1267200,285.70547
1270800,285.69763
1274400,285.68973
1278000,285.67993
1281600,285.6702
