Time,TAvgFluid
0,283.24643
3600,285.30438
7200,285.5558
10800,285.5466
14400,285.52258
18000,285.51096
21600,285.50363
25200,285.43307
28800,284.75705
32400,284.81213
36000,284.78912
39600,284.73438
43200,284.70294
46800,284.69284
50400,284.67224
54000,284.65704
57600,284.6411
61200,284.62955
64800,284.5938
68400,284.57144
72000,284.55414
75600,284.58896
79200,284.5755
82800,285.22876
86400,285.18207
90000,285.19376
93600,285.22467
97200,285.2522
100800,285.2732
104400,285.28952
108000,285.30273
111600,285.25848
115200,284.6874
118800,284.75253
122400,284.74652
126000,284.7172
129600,284.7102
133200,284.71313
136800,284.6983
140400,284.68994
144000,284.68326
147600,284.68457
151200,284.6327
154800,284.62253
158400,284.60043
162000,284.6346
165600,284.62692
169200,285.20636
172800,285.1656
176400,285.17706
180000,285.20593
183600,285.23193
187200,285.25156
190800,285.2663
194400,285.2772
198000,285.23486
201600,284.6794
205200,284.7389
208800,284.73035
212400,284.69208
216000,284.66965
219600,284.66223
223200,284.62204
226800,284.57593
230400,284.55457
234000,284.55243
237600,284.51083
241200,284.49878
244800,284.46826
248400,284.48935
252000,284.46628
255600,285.15323
259200,285.1058
262800,285.1184
266400,285.15073
270000,285.18024
273600,285.20288
277200,285.22003
280800,285.23364
284400,285.19485
288000,284.5789
291600,284.6376
295200,284.62857
298800,284.59357
302400,284.57602
306000,284.5734
309600,284.5563
313200,284.54407
316800,284.5261
320400,284.5121
324000,284.45374
327600,284.44574
331200,284.42996
334800,284.47064
338400,284.4625
342000,285.11713
345600,285.0717
349200,285.08514
352800,285.11795
356400,285.14697
360000,285.16928
363600,285.18677
367200,285.19928
370800,285.18063
374400,284.55988
378000,284.61478
381600,284.60748
385200,284.56442
388800,284.53784
392400,284.52277
396000,284.50128
399600,284.49188
403200,284.4739
406800,284.49054
410400,284.45862
414000,284.45578
417600,284.44955
421200,284.44193
424800,284.43335
428400,285.09256
432000,285.04764
435600,285.061
439200,285.09213
442800,285.12015
446400,285.14267
450000,285.16104
453600,285.17578
457200,285.15024
460800,284.538
464400,284.59192
468000,284.58456
471600,284.5449
475200,284.5126
478800,284.50577
482400,284.49255
486000,284.478
489600,284.46622
493200,284.47885
496800,284.44537
500400,284.43896
504000,284.42944
507600,284.42212
511200,284.41357
514800,285.08188
518400,285.03592
522000,285.04855
525600,285.07892
529200,285.10638
532800,285.12833
536400,285.14517
540000,285.15848
543600,285.0989
547200,284.4508
550800,284.51633
554400,284.51257
558000,284.48306
561600,284.4684
565200,284.46548
568800,284.45242
572400,284.44193
576000,284.42865
579600,284.41794
583200,284.3691
586800,284.3591
590400,284.34128
594000,284.37036
597600,284.35886
601200,285.05478
604800,285.0078
608400,285.02274
612000,285.05765
615600,285.08923
619200,285.11368
622800,285.13278
626400,285.1478
630000,285.10187
633600,284.46167
637200,284.52902
640800,284.52206
644400,284.48392
648000,284.45816
651600,284.45
655200,284.43137
658800,284.4147
662400,284.4024
666000,284.4002
669600,284.35242
673200,284.34097
676800,284.32602
680400,284.35654
684000,284.3463
687600,285.04016
691200,284.99207
694800,285.00613
698400,285.0407
702000,285.0722
705600,285.09616
709200,285.11475
712800,285.13007
716400,285.07782
720000,284.44116
723600,284.5083
727200,284.48975
730800,284.43134
734400,284.39993
738000,284.39755
741600,284.38116
745200,284.37155
748800,284.3635
752400,284.35962
756000,284.30746
759600,284.3009
763200,284.28555
766800,284.31833
770400,284.3075
774000,285.01544
777600,284.9676
781200,284.98254
784800,285.0183
788400,285.05075
792000,285.07556
795600,285.09583
799200,285.11224
802800,285.05573
806400,284.45145
810000,284.52914
813600,284.5297
817200,284.49402
820800,284.47015
824400,284.46555
828000,284.4542
831600,284.44885
835200,284.44604
838800,284.45447
842400,284.41693
846000,284.41727
849600,284.4199
853200,284.47354
856800,284.47705
860400,285.0454
864000,285.00943
867600,285.0227
871200,285.05234
874800,285.07965
878400,285.10086
882000,285.1172
885600,285.131
889200,285.07056
892800,284.54684
896400,284.60095
900000,284.60403
903600,284.57294
907200,284.55643
910800,284.55878
914400,284.54926
918000,284.54337
921600,284.53568
925200,284.53168
928800,284.47726
932400,284.4668
936000,284.45953
939600,284.47128
943200,284.45032
946800,285.0613
950400,285.01907
954000,285.03122
957600,285.0613
961200,285.08856
964800,285.1101
968400,285.12708
972000,285.1403
975600,285.12497
979200,284.52994
982800,284.57437
986400,284.57022
990000,284.54636
993600,284.5421
997200,284.54175
1000800,284.5257
1004400,284.51724
1008000,284.50858
1011600,284.526
1015200,284.49887
1018800,284.4854
1022400,284.47824
1026000,284.47372
1029600,284.4698
1033200,285.06476
1036800,285.02448
1040400,285.03735
1044000,285.067
1047600,285.09308
1051200,285.11343
1054800,285.12955
1058400,285.14288
1062000,285.12244
1065600,284.6121
1069200,284.6597
1072800,284.65347
1076400,284.6125
1080000,284.59805
1083600,284.60632
1087200,284.5923
1090800,284.5818
1094400,284.57034
1098000,284.5914
1101600,284.5611
1105200,284.55246
1108800,284.5383
1112400,284.52454
1116000,284.52304
1119600,285.0777
1123200,285.04102
1126800,285.05377
1130400,285.0826
1134000,285.10913
1137600,285.1285
1141200,285.144
1144800,285.15808
1148400,285.10794
1152000,284.6083
1155600,284.6635
1159200,284.65106
1162800,284.61896
1166400,284.60883
1170000,284.60873
1173600,284.59808
1177200,284.5832
1180800,284.56802
1184400,284.55273
1188000,284.5086
1191600,284.4792
1195200,284.4605
1198800,284.49582
1202400,284.4835
1206000,285.07443
1209600,285.03363
1213200,285.04626
1216800,285.0756
1220400,285.1021
1224000,285.12305
1227600,285.13824
1231200,285.1521
1234800,285.11835
1238400,284.5876
1242000,284.6381
1245600,284.62576
1249200,284.5908
1252800,284.56598
1256400,284.55704
1260000,284.5382
1263600,284.5189
1267200,284.50284
1270800,284.49814
1274400,284.45184
1278000,284.42776
1281600,284.4122
1285200,284.44208
1288800,284.4263
1292400,285.0505
