,Heating Space,Heating AHU,Cooling Space,Cooling AHU
1/1/2002 0:00,109.0082,8.5612,0,0
1/1/2002 1:00,135.3675,9.8534,0,0
1/1/2002 2:00,156.072,11.0468,0,0
1/1/2002 3:00,169.4292,11.72,0,0
1/1/2002 4:00,177.5335,11.9648,0,0
1/1/2002 5:00,182.7256,12.0566,0,0
1/1/2002 6:00,184.3148,11.8118,0,0
1/1/2002 7:00,204.0373,11.4446,0,0
1/1/2002 8:00,194.6674,11.3834,0,0
1/1/2002 9:00,193.1851,11.3834,0,0
1/1/2002 10:00,187.1935,11.3222,0,0
1/1/2002 11:00,179.4016,11.108,0,0
1/1/2002 12:00,170.2113,10.802,0,0
1/1/2002 13:00,167.2642,10.5266,0,0
1/1/2002 14:00,163.1884,10.343,0,0
1/1/2002 15:00,170.9795,10.343,0,0
1/1/2002 16:00,184.0585,10.496,0,0
1/1/2002 17:00,191.7495,10.5572,0,0
1/1/2002 18:00,195.5017,10.5878,0,0
1/1/2002 19:00,197.7857,10.5878,0,0
1/1/2002 20:00,197.3262,10.4042,0,0
1/1/2002 21:00,196.6731,10.1594,0,0
1/1/2002 22:00,186.1456,9.884,0,0
1/1/2002 23:00,189.0238,9.7922,0,0
1/2/2002 0:00,166.696,9.8534,0,0
1/2/2002 1:00,168.2548,9.7616,0,0
1/2/2002 2:00,168.7541,9.6392,0,0
1/2/2002 3:00,167.8939,9.4556,0,0
1/2/2002 4:00,164.545,9.0272,0,0
1/2/2002 5:00,159.6622,8.5376,0,0
1/2/2002 6:00,155.3641,8.1092,0,0
1/2/2002 7:00,221.9505,8.5545,0,0
1/2/2002 8:00,170.0609,9.2419,0,0
1/2/2002 9:00,150.7216,14.9304,0,0
1/2/2002 10:00,122.364,15.7156,0,0
1/2/2002 11:00,89.6102,17.4706,0,0
1/2/2002 12:00,75.6745,9.798,0,0
1/2/2002 13:00,77.8692,10.8015,0,0
1/2/2002 14:00,93.8753,11.5557,0,0
1/2/2002 15:00,103.7676,12.9131,0,0
1/2/2002 16:00,119.2053,10.5704,0,0
1/2/2002 17:00,130.2602,7.881,0,0
1/2/2002 18:00,135.5885,7.4501,0,0
1/2/2002 19:00,119.6004,7.4695,0,0
1/2/2002 20:00,118.8485,7.3531,0,0
1/2/2002 21:00,118.6388,7.2384,0,0
1/2/2002 22:00,119.3407,7.1562,0,0
1/2/2002 23:00,124.8459,6.5763,0,0
1/3/2002 0:00,126.9178,6.3835,0,0
1/3/2002 1:00,129.948,6.4567,0,0
1/3/2002 2:00,131.8612,6.5485,0,0
1/3/2002 3:00,132.6891,6.5179,0,0
1/3/2002 4:00,134.2903,6.6403,0,0
1/3/2002 5:00,137.5987,6.8851,0,0
1/3/2002 6:00,138.9138,6.9463,0,0
1/3/2002 7:00,159.2334,7.8474,0,0
1/3/2002 8:00,144.455,8.6148,0,0
1/3/2002 9:00,137.2061,10.3682,0,0
1/3/2002 10:00,130.6842,11.4112,0,0
1/3/2002 11:00,120.9402,12.6765,0,0
1/3/2002 12:00,119.37,9.7689,0,0
1/3/2002 13:00,126.6789,9.6826,0,0
1/3/2002 14:00,145.39,11.2561,0,0
1/3/2002 15:00,158.3784,11.7084,0,0
1/3/2002 16:00,167.4409,11.4928,0,0
1/3/2002 17:00,168.4282,11.2689,0,0
1/3/2002 18:00,164.5041,12.7468,0,0
1/3/2002 19:00,164.8989,15.1791,0,0
1/3/2002 20:00,166.3702,15.7714,0,0
1/3/2002 21:00,173.7012,14.8611,0,0
1/3/2002 22:00,171.4597,12.9155,0,0
1/3/2002 23:00,176.8707,10.8411,0,0
1/4/2002 0:00,175.3271,10.0316,0,0
1/4/2002 1:00,179.7909,9.884,0,0
1/4/2002 2:00,181.6985,9.7922,0,0
1/4/2002 3:00,181.8764,9.7004,0,0
1/4/2002 4:00,183.7271,9.7616,0,0
1/4/2002 5:00,182.6473,9.5474,0,0
1/4/2002 6:00,180.7538,9.3026,0,0
1/4/2002 7:00,98.771,9.8299,0,0
1/4/2002 8:00,66.3367,14.998,0,0
1/4/2002 9:00,52.5311,39.3347,0,0
1/4/2002 10:00,47.0677,45.8305,0,0
1/4/2002 11:00,29.8488,46.5584,0,0
1/4/2002 12:00,21.7586,38.8543,0,0
1/4/2002 13:00,16.9791,35.6422,0,0
1/4/2002 14:00,17.5009,39.1783,0,0
1/4/2002 15:00,20.8083,43.3056,0,0
1/4/2002 16:00,36.4365,44.583,0,0
1/4/2002 17:00,42.6413,40.5448,0,0
1/4/2002 18:00,42.7166,31.6476,0,0
1/4/2002 19:00,96.4876,19.5651,0,0
1/4/2002 20:00,129.8269,11.6346,0,0
1/4/2002 21:00,136.2372,10.9555,0,0
1/4/2002 22:00,139.7004,10.7546,0,0
1/4/2002 23:00,147.3484,9.8212,0,0
1/5/2002 0:00,149.3495,9.3465,0,0
1/5/2002 1:00,154.0291,9.3026,0,0
1/5/2002 2:00,160.1327,9.5168,0,0
1/5/2002 3:00,162.6477,9.4862,0,0
1/5/2002 4:00,162.4274,9.272,0,0
1/5/2002 5:00,163.2297,9.1802,0,0
1/5/2002 6:00,164.1917,9.1496,0,0
1/5/2002 7:00,144.2582,9.5777,0,0
1/5/2002 8:00,78.6614,20.6634,0,0
1/5/2002 9:00,59.6484,43.3104,0,0
1/5/2002 10:00,60.0902,49.5278,0,0
1/5/2002 11:00,54.7793,54.8179,0,0
1/5/2002 12:00,59.2638,43.4474,0,0
1/5/2002 13:00,55.4143,42.7174,0,0
1/5/2002 14:00,55.1841,47.0466,0,0
1/5/2002 15:00,52.7138,51.1646,0,0
1/5/2002 16:00,61.3669,47.3187,0,0
1/5/2002 17:00,61.2326,38.663,0,0
1/5/2002 18:00,67.5017,29.5683,0,0
1/5/2002 19:00,95.9851,18.6013,0,0
1/5/2002 20:00,125.7887,11.3168,0,0
1/5/2002 21:00,132.3614,10.9161,0,0
1/5/2002 22:00,135.6054,10.8673,0,0
1/5/2002 23:00,141.386,9.7854,0,0
1/6/2002 0:00,144.3383,9.3118,0,0
1/6/2002 1:00,149.848,9.425,0,0
1/6/2002 2:00,154.9617,9.5168,0,0
1/6/2002 3:00,157.3045,9.3944,0,0
1/6/2002 4:00,156.4273,9.0578,0,0
1/6/2002 5:00,156.5501,8.9048,0,0
1/6/2002 6:00,158.3474,8.9354,0,0
1/6/2002 7:00,87.5284,9.2852,0,0
1/6/2002 8:00,57.1617,20.0423,0,0
1/6/2002 9:00,46.5118,38.6585,0,0
1/6/2002 10:00,47.6574,44.0905,0,0
1/6/2002 11:00,44.2726,47.3671,0,0
1/6/2002 12:00,47.5697,40.5588,0,0
1/6/2002 13:00,43.6254,37.3283,0,0
1/6/2002 14:00,43.1301,41.7718,0,0
1/6/2002 15:00,42.0216,44.7106,0,0
1/6/2002 16:00,49.1059,43.8315,0,0
1/6/2002 17:00,48.1257,38.1705,0,0
1/6/2002 18:00,45.5631,30.0228,0,0
1/6/2002 19:00,94.5089,19.2352,0,0
1/6/2002 20:00,127.7385,11.7754,0,0
1/6/2002 21:00,137.7932,11.415,0,0
1/6/2002 22:00,145.3665,11.587,0,0
1/6/2002 23:00,152.2284,10.4724,0,0
1/7/2002 0:00,153.3228,9.7821,0,0
1/7/2002 1:00,160.2626,9.9146,0,0
1/7/2002 2:00,166.1182,10.2512,0,0
1/7/2002 3:00,167.9309,10.4042,0,0
1/7/2002 4:00,168.3495,10.496,0,0
1/7/2002 5:00,173.5912,10.6796,0,0
1/7/2002 6:00,180.0131,10.7714,0,0
1/7/2002 7:00,96.6957,11.6415,0,0
1/7/2002 8:00,78.3099,25.3933,0,0
1/7/2002 9:00,61.8427,45.3675,0,0
1/7/2002 10:00,52.488,48.2475,0,0
1/7/2002 11:00,46.1845,46.2792,0,0
1/7/2002 12:00,39.6028,42.0135,0,0
1/7/2002 13:00,41.0086,38.5281,0,0
1/7/2002 14:00,44.2468,42.0537,0,0
1/7/2002 15:00,48.8055,45.1553,0,0
1/7/2002 16:00,56.9089,46.5382,0,0
1/7/2002 17:00,57.2961,42.8737,0,0
1/7/2002 18:00,61.0769,34.5297,0,0
1/7/2002 19:00,115.9537,22.0342,0,0
1/7/2002 20:00,147.4424,13.4735,0,0
1/7/2002 21:00,155.3854,12.8707,0,0
1/7/2002 22:00,158.8017,12.6858,0,0
1/7/2002 23:00,164.4388,11.3158,0,0
