Heating;Cooling
13.166;0
18.68;0
23.392;0
27.157;0
29.541;0
30.985;0
31.31;0
164.212;0
61.263;0
37.144;0
47.607;0
47.229;0
38.651;0
43.734;0
35.594;0
36.747;0
41.125;0
48.441;0
75.484;0
2.054;0
7.179;0
15.394;0
18.093;0
19.669;0
21.067;0
22.22;0
23.003;0
23.438;0
23.03;0
22.208;0
21.534;0
21.428;0
21.72;0
20.429;0
14.365;0
9.152;0
6.913;0
7.605;0
10.064;0
12.494;0
16.141;0
18.689;0
20.094;0
20.358;0
20.422;0
20.534;0
20.955;0
22.102;0
23.762;0
24.791;0
25.456;0
25.822;0
26.494;0
27.769;0
28.374;0
29.236;0
29.893;0
29.267;0
27.355;0
25.393;0
24.264;0
27.046;0
33.111;0
37.234;0
39.412;0
40.06;0
40.269;0
40.855;0
41.721;0
43.501;0
44.426;0
44.032;0
44.248;0
44.959;0
45.063;0
44.958;0
45.465;0
45.068;0
44.388;0
179.721;0
76.664;0
44.094;0
48.369;0
44.497;0
30.357;0
32.945;0
26.898;0
30.989;0
42.407;0
55.985;0
84.011;0
2.125;0
7.787;0
19.122;0
23.951;0
26.617;0
29.077;0
30.675;0
32.627;0
33.532;0
33.635;0
34.06;0
34.601;0
169.91;0
66.374;0
39.416;0
44.991;0
44.917;0
39.68;0
48.51;0
39.389;0
38.508;0
42.274;0
50.96;0
78.114;0
2.067;0
6.12;0
15.914;0
19.644;0
22.315;0
24.961;0
26.969;0
28.561;0
29.399;0
29.398;0
29.684;0
30.567;0
166.282;0
62.008;0
35.937;0
41.157;0
42.314;0
36.415;0
43.485;0
35.299;0
34.744;0
38.809;0
48.436;0
75.366;0
2.179;0
6.135;0
16.157;0
20.701;0
23.398;0
25.726;0
28.044;0
30.134;0
31.202;0
31.712;0
33.466;0
35.497;0
171.491;0
69.027;0
41.351;0
43.794;0
40.912;0
33.549;0
41.014;0
34.628;0
36.429;0
42.457;0
52.164;0
79.959;0
2.489;0
9.289;0
19.34;0
23.243;0
25.735;0
27.531;0
28.876;0
29.754;0
30.469;0
31.012;0
32.005;0
33.349;0
168.49;0
65.885;0
40.15;0
48.143;0
47.835;0
41.047;0
48.335;0
40.393;0
40.73;0
44.88;0
53.33;0
81.235;0
2.57;0
9.362;0
19.073;0
23.073;0
25.737;0
27.387;0
28.784;0
30.016;0
31.165;0
32.237;0
33.119;0
33.919;0
34.591;0
35.559;0
36.267;0
35.852;0
32.016;0
29.141;0
28.506;0
29.272;0
32.388;0
36.504;0
39.516;0
40.369;0
41.399;0
42.809;0
43.644;0
44.448;0
45.383;0
46.149;0
46.121;0
45.985;0
45.804;0
45.258;0
44.202;0
43.464;0
43.236;0
42.812;0
41.18;0
38.583;0
36.8;0
35.976;0
35.366;0
35.211;0
35.772;0
36.501;0
36.457;0
35.677;0
34.26;0
32.233;0
30.591;0
29.685;0
29.693;0
31.093;0
32.575;0
33.148;0
33.407;0
34.034;0
34.117;0
33.959;0
172.997;0
68.08;0
35.918;0
35.796;0
33.571;0
26.457;0
31.403;0
18.772;0
18.703;0
25.771;0
42.481;0
69.758;0
1.893;0
3.255;0
12.534;0
16.425;0
19.942;0
22.694;0
24.583;0
25.984;0
26.998;0
27.848;0
28.869;0
30.293;0
168.509;0
63.653;0
35.243;0
33.088;0
28.35;0
21.059;0
22.68;0
20.493;0
23.629;0
26.929;0
37.697;0
63.192;0
1.874;0
2.584;0
8.441;0
12.226;0
14.219;0
15.602;0
16.416;0
17.544;0
18.773;0
18.93;0
17.553;0
15.755;0
151.759;0
45.609;0
20.587;0
22.174;0
20.222;0
15.513;0
19.747;0
14.895;0
15.277;0.043
17.74;0
24.442;0
49.275;0
1.538;0
1.451;0
3.367;0
5.718;0
6.923;0
7.35;0
7.357;0
7.545;0
8.384;0
9.632;0
10.597;0
11.639;0
145.405;0
42.204;0
19.032;0
21.638;0
20.207;0
15.752;0
17.681;0
15.183;0
17.318;0.338
21.275;0
27.51;0
53.493;0
1.696;0
1.919;0
6.102;0
8.662;0
10.204;0
11.203;0
11.699;0
12.144;0
12.835;0
14.104;0
15.207;0
15.067;0
146.304;0
43.576;0
20.994;0
24.376;0
23.443;0
18.985;0
22.217;0
19.074;0
21.505;0
24.601;0
29.658;0
55.355;0
1.756;0
2.425;0
7.614;0
10.634;0
11.926;0
12.871;0
14.399;0
15.363;0
15.738;0
16.464;0
17.41;0
18.43;0
19.627;0
21.397;0
19.282;0
11.876;0
8.895;0
7.257;0
7.808;0
9.386;0
11.949;0
17.091;0
21.37;0
24.482;0
27.415;0
29.359;0
30.453;0
30.977;0
30.984;0
31.203;0
32.275;0
33.902;0
35.116;0
35.638;0
35.986;0
36.116;0
36.194;0
36.167;0
32.814;0
25.013;0
24.286;0
26.484;0
27.241;0
28.231;0
29.438;0
32.882;0
35.184;0
36.098;0
37.717;0
39.814;0
41.083;0
41.869;0
41.643;0
41.331;0
41.48;0
41.035;0
40.571;0
40.497;0
40.335;0
40.298;0
176.102;0
70.817;0
38.431;0
40.699;0
38;0
30.379;0
38.104;0
25.788;0
21.861;0
23.971;0
36.024;0
61.168;0
1.509;0
1.432;0
3.591;0
6.979;0
9.254;0
10.545;0
11.368;0
11.713;0
12.188;0
12.743;0
13.142;0
13.633;0
154.302;0
47.121;0
20.829;0
20.096;0
17.057;0
13.178;0
18.093;0
13.577;0
13.956;0.296
15.717;0
23.231;0
49.884;0
1.462;0
1.422;0
4.675;0
7.928;0
10.211;0
11.591;0
13.384;0
14.911;0
15.756;0
16.723;0
17.928;0
19.342;0
157.951;0
52.413;0
25.929;0
24.868;0
21.177;0
15.489;0.264
14.668;0
13.479;0.17
15.156;0.294
16.405;0.005
20.827;0
47.138;0
1.563;0
1.401;0
3.904;0
6.537;0
8.585;0
9.899;0
11.391;0
12.743;0
14.153;0
15.015;0
14.896;0
14.581;0
146.89;0
43.214;0
19.955;0
22.439;0
19.921;0
16.99;0
21.821;0
18.078;0
18.292;0
20.89;0
24.597;0
47.856;0
1.488;0
1.337;0
3.781;0
6.381;0
8.245;0
9.124;0
10.394;0
11.474;0
12.446;0
13.592;0
14.295;0
15.502;0
149.688;0
47.279;0
23.11;0
24.364;0
21.765;0
16.198;0
16.968;0
16.948;0
18.192;0.081
21.421;0
25.858;0
49.748;0
1.58;0
1.493;0
4.728;0
6.396;0
7.23;0
7.293;0
7.357;0
7.556;0
7.836;0
8.305;0
8.936;0
9.84;0
11.178;0
12.542;0
12.417;0
9.653;0
7.106;0
4.601;0
2.453;0
2.901;0
5.763;0
8.493;0
11.135;0
13.404;0
14.413;0
15.383;0
17.401;0
19.128;0
19.802;0
20.724;0
22.468;0
23.808;0
24.274;0
24.633;0
26.619;0
28.519;0
30.158;0
31.033;0
26.704;0
17.538;0
15.458;0
12.46;0
11.245;0
16.495;0
22.817;0
28.784;0
34.145;0
36.805;0
37.425;0
37.982;0
38.349;0
37.971;0
37.139;0
36.236;0
37.802;0
39.355;0
39.143;0
40.227;0
40.613;0
40.194;0
176.222;0
71.77;0
40.859;0
46.136;0
39.493;0
28.713;0
30.965;0
24.31;0
29.516;0
37.025;0
49.673;0
77.358;0
2.077;0
6.661;0
18.086;0
23.648;0
26.408;0
28.338;0
29.579;0
30.786;0
33.427;0
33.909;0
34.231;0
36.017;0
172.731;0
68.366;0
39.283;0
41.221;0
33.797;0
24.044;0
24.156;0
21.579;0
24.616;0
30.896;0
45.076;0
74.564;0
2.336;0
8.277;0
19.982;0
25.921;0
29.323;0
31.967;0
33.224;0
33.454;0
33.97;0
34.69;0
35.939;0
36.86;0
171.296;0
68.225;0
40.814;0
45.719;0
41.388;0
30.467;0
36.711;0
34.23;0
38.785;0
44.035;0
53.372;0
81.165;0
2.531;0
8.865;0
18.038;0
21.397;0
23.619;0
25.218;0
25.667;0
25.911;0
26.366;0
26.812;0
27.484;0
28.349;0
163.33;0
59.212;0
33.034;0
33.373;0
28.544;0
20.827;0
19.759;0
18.233;0
20.797;0
24.188;0
33.189;0
62.535;0
2.091;0
4.199;0
11.279;0
14.437;0
15.658;0
17.009;0
18.815;0
21.075;0
23.192;0
25.321;0
27.075;0
28.377;0
162.855;0
59.648;0
33.405;0
38.5;0
36.261;0
30.374;0
36.367;0
28.235;0
28.409;0
30.459;0
38.269;0
64.448;0
2.004;0
3.302;0
9.358;0
13.386;0
15.394;0
17.388;0
19.742;0
22.055;0
23.897;0
25.631;0
26.987;0
28.011;0
29.778;0
31.145;0
28.14;0
20.427;0
19.059;0
18.432;0
17.719;0
16.95;0
19.334;0
25.455;0
30.511;0
33.163;0
34.308;0
35.168;0
36.088;0
36.992;0
38.133;0
38.627;0
38.101;0
37.992;0
38.837;0
39.343;0
39.791;0
40.488;0
40.999;0
40.39;0
35.435;0
27.103;0
21.228;0
19.462;0
22.018;0
27.523;0
31.893;0
35.104;0
38.501;0
40.82;0
41.944;0
42.154;0
42.365;0
42.492;0
42.544;0
42.508;0
41.981;0
41.811;0
41.469;0
40.942;0
40.577;0
40.23;0
176.239;0
70.542;0
38.29;0
40.577;0
37.957;0
29.791;0
38.619;0
28.328;0
27.534;0
32.37;0
45.198;0
71.651;0
1.988;0
2.902;0
10.697;0
14.975;0
17.948;0
19.46;0
20.406;0
21.3;0
21.686;0
22.034;0
22.617;0
23.542;0
163.549;0
55.442;0
27.922;0
29.583;0
27.131;0
20.576;0
23.424;0
18.249;0
20.022;0
22.829;0
33.226;0
60.65;0
1.958;0
2.996;0
9.433;0
13.11;0
15.046;0
16.147;0
16.67;0
17.474;0
18.145;0
19.3;0
21.117;0
22.606;0
161.141;0
53.638;0
25.626;0
26.93;0
25.142;0
19.492;0
22.875;0
17.71;0
17.97;0
19.923;0
26.642;0
52.361;0
1.651;0
1.522;0
3.761;0
6.107;0
7.788;0
8.734;0
9.463;0
9.941;0
10.472;0
11.096;0
11.577;0
12.001;0
146.027;0
40.931;0
16.888;0
18.402;0
17.606;0
13.974;0
15.537;0
