cooling,heating
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,1006.64
0.0,996.111
0.0,985.669
0.0,975.72
0.0,967.838
0.0,961.002
0.0,955.126
0.0,949.629
0.0,944.015
0.0,942.444
0.0,937.441
0.0,929.733
0.0,917.661
0.0,904.63
0.0,890.435
0.0,877.869
0.0,868.416
0.0,861.056
0.0,854.715
0.0,848.869
0.0,844.447
0.0,841.306
0.0,838.455
0.0,835.954
0.0,830.951
0.0,823.853
0.0,815.796
0.0,808.408
0.0,798.256
0.0,785.254
0.0,769.459
0.0,751.774
0.0,734.408
0.0,719.748
0.0,709.247
0.0,700.666
0.0,692.842
0.0,686.355
0.0,681.003
0.0,676.145
0.0,671.433
0.0,669.688
0.0,672.335
0.0,679.345
0.0,685.337
0.0,691.504
0.0,698.019
0.0,704.273
0.0,712.883
0.0,721.93
0.0,729.231
0.0,733.681
0.0,737.637
0.0,742.407
0.0,747.12
0.0,752.035
0.0,752.734
0.0,753.693
0.0,754.799
0.0,757.068
0.0,760.122
0.0,763.612
0.0,765.765
0.0,766.027
0.0,763.322
0.0,757.329
0.0,747.352
0.0,733.565
0.0,719.021
0.0,704.361
0.0,691.184
0.0,681.236
0.0,673.964
0.0,670.793
0.0,671.637
0.0,675.593
0.0,682.05
0.0,689.759
0.0,698.572
0.0,708.433
0.0,718.352
0.0,724.286
0.0,728.125
0.0,731.441
0.0,736.154
0.0,741.622
0.0,748.05
0.0,754.77
0.0,761.169
0.0,766.434
0.0,769.983
0.0,772.135
0.0,772.804
0.0,774.317
0.0,775.364
0.0,773.706
0.0,769.895
0.0,764.398
0.0,757.882
0.0,750.348
0.0,741.622
0.0,732.343
0.0,723.413
0.0,714.338
0.0,707.153
0.0,704.39
0.0,703.372
0.0,702.383
0.0,700.114
0.0,697.99
0.0,696.681
0.0,696.071
0.0,697.641
0.0,700.812
0.0,705.728
0.0,711.778
0.0,717.741
0.0,722.395
